snapshot_id,factory_id,snapshot_at,work_date,line_id,order_id,style_id,day_in_order,complexity_band,sam_minutes,planned_workers,present_workers,attendance_rate,target_to_snapshot,output_to_snapshot,progress_ratio,downtime_to_snapshot,inspected_to_snapshot,defects_to_snapshot,defect_rate_to_snapshot,material_status,changeover_minutes,root_cause_signal,rolling_3d_efficiency,rolling_3d_downtime,previous_day_miss,daily_target,daily_actual_output,label_daily_target_missed,label_high_defect,data_split,dataset_provenance
SNAP-000030,FAC-001,2025-02-06T13:00:00+00:00,2025-02-06,LINE-01,ORD-01-004,STY-033,10,low,8.0,46,43,0.9348,490,485,0.9898,0,215,2,0.0093,available,0,none,1.0017,2.67,0,976,967,1,0,train,synthetic
SNAP-000031,FAC-001,2025-02-08T13:00:00+00:00,2025-02-08,LINE-01,ORD-01-004,STY-033,11,low,8.0,50,48,0.96,5,5,1.0,0,2,0,0.0,minor,0,none,1.0129,2.67,1,9,9,0,0,train,synthetic
SNAP-000032,FAC-001,2025-02-09T13:00:00+00:00,2025-02-09,LINE-01,ORD-01-005,STY-023,1,medium,17.7,47,46,0.9787,575,320,0.5565,0,153,11,0.0719,available,137,quality,1.0058,2.67,0,1150,790,1,1,train,synthetic
SNAP-000033,FAC-001,2025-02-10T13:00:00+00:00,2025-02-10,LINE-01,ORD-01-005,STY-023,2,medium,17.7,46,45,0.9783,575,534,0.9287,0,236,8,0.0339,available,0,none,0.8926,0.0,1,1150,1052,1,0,train,synthetic
SNAP-000034,FAC-001,2025-02-11T13:00:00+00:00,2025-02-11,LINE-01,ORD-01-005,STY-023,3,medium,17.7,48,46,0.9583,575,563,0.9791,0,276,8,0.029,available,0,none,0.8672,0.0,1,1150,1121,1,0,train,synthetic
SNAP-000035,FAC-001,2025-02-12T13:00:00+00:00,2025-02-12,LINE-01,ORD-01-005,STY-023,4,medium,17.7,47,44,0.9362,575,559,0.9722,0,255,6,0.0235,available,0,none,0.8588,0.0,1,1150,1116,1,0,train,synthetic
SNAP-000036,FAC-001,2025-02-13T13:00:00+00:00,2025-02-13,LINE-01,ORD-01-005,STY-023,5,medium,17.7,50,48,0.96,575,433,0.753,0,166,11,0.0663,minor,0,quality,0.9533,0.0,1,1150,847,1,1,train,synthetic
SNAP-000037,FAC-001,2025-02-15T13:00:00+00:00,2025-02-15,LINE-01,ORD-01-005,STY-023,6,medium,17.7,50,48,0.96,575,591,1.0278,0,275,15,0.0545,available,0,none,0.8939,0.0,1,1150,1165,0,0,train,synthetic
SNAP-000038,FAC-001,2025-02-16T13:00:00+00:00,2025-02-16,LINE-01,ORD-01-005,STY-023,7,medium,17.7,47,40,0.8511,575,500,0.8696,0,261,13,0.0498,available,0,manpower,0.9067,0.0,0,1150,1004,1,0,train,synthetic
SNAP-000039,FAC-001,2025-02-17T13:00:00+00:00,2025-02-17,LINE-01,ORD-01-005,STY-023,8,medium,17.7,46,45,0.9783,575,585,1.0174,0,310,9,0.029,available,0,none,0.8742,0.0,1,1150,1200,0,0,train,synthetic
SNAP-000040,FAC-001,2025-02-18T13:00:00+00:00,2025-02-18,LINE-01,ORD-01-005,STY-023,9,medium,17.7,50,44,0.88,575,523,0.9096,8,241,9,0.0373,available,0,manpower,0.9765,0.0,0,1150,1040,1,0,train,synthetic
SNAP-000041,FAC-001,2025-02-19T13:00:00+00:00,2025-02-19,LINE-01,ORD-01-005,STY-023,10,medium,17.7,48,44,0.9167,385,364,0.9455,0,183,9,0.0492,available,0,none,0.9403,2.67,1,765,733,1,0,train,synthetic
SNAP-000042,FAC-001,2025-02-20T13:00:00+00:00,2025-02-20,LINE-01,ORD-01-005,STY-023,11,medium,17.7,48,44,0.9167,17,17,1.0,0,8,1,0.125,available,0,quality,0.9687,2.67,1,32,32,0,1,train,synthetic
SNAP-000043,FAC-001,2025-02-22T13:00:00+00:00,2025-02-22,LINE-01,ORD-01-006,STY-007,1,medium,17.9,50,49,0.98,570,380,0.6667,0,195,4,0.0205,available,61,planning,0.9542,2.67,0,1140,851,1,0,train,synthetic
SNAP-000044,FAC-001,2025-02-23T13:00:00+00:00,2025-02-23,LINE-01,ORD-01-006,STY-007,2,medium,17.9,50,49,0.98,570,475,0.8333,28,247,6,0.0243,available,0,none,0.9016,0.0,1,1140,988,1,0,train,synthetic
SNAP-000045,FAC-001,2025-02-24T13:00:00+00:00,2025-02-24,LINE-01,ORD-01-006,STY-007,3,medium,17.9,47,45,0.9574,570,539,0.9456,8,235,8,0.034,available,0,none,0.8711,9.33,1,1140,1100,1,0,train,synthetic
SNAP-000046,FAC-001,2025-02-25T13:00:00+00:00,2025-02-25,LINE-01,ORD-01-006,STY-007,4,medium,17.9,50,47,0.94,570,546,0.9579,0,260,5,0.0192,available,0,none,0.8594,12.0,1,1140,1109,1,0,train,synthetic
SNAP-000047,FAC-001,2025-02-26T13:00:00+00:00,2025-02-26,LINE-01,ORD-01-006,STY-007,5,medium,17.9,47,44,0.9362,570,551,0.9667,0,260,3,0.0115,available,0,none,0.9348,12.0,1,1140,1100,1,0,train,synthetic
SNAP-000048,FAC-001,2025-02-27T13:00:00+00:00,2025-02-27,LINE-01,ORD-01-006,STY-007,6,medium,17.9,50,48,0.96,570,503,0.8825,40,225,6,0.0267,available,0,machine,0.9675,2.67,1,1140,1067,1,0,train,synthetic
SNAP-000049,FAC-001,2025-03-01T13:00:00+00:00,2025-03-01,LINE-01,ORD-01-006,STY-007,7,medium,17.9,48,45,0.9375,420,416,0.9905,0,187,5,0.0267,available,0,none,0.9579,13.33,1,835,827,1,0,train,synthetic
SNAP-000050,FAC-001,2025-03-02T13:00:00+00:00,2025-03-02,LINE-01,ORD-01-006,STY-007,8,medium,17.9,48,45,0.9375,5,5,1.0,0,1,0,0.0,available,0,none,0.9638,13.33,1,8,8,0,0,train,synthetic
SNAP-000051,FAC-001,2025-03-03T13:00:00+00:00,2025-03-03,LINE-01,ORD-01-007,STY-017,1,low,7.8,47,45,0.9574,1150,619,0.5383,0,274,0,0.0,available,107,method,0.9755,13.33,0,2300,1531,1,0,train,synthetic
SNAP-000052,FAC-001,2025-03-04T13:00:00+00:00,2025-03-04,LINE-01,ORD-01-007,STY-017,2,low,7.8,47,40,0.8511,1150,886,0.7704,0,415,3,0.0072,available,0,manpower,0.8854,0.0,1,2300,1806,1,0,train,synthetic
SNAP-000053,FAC-001,2025-03-05T13:00:00+00:00,2025-03-05,LINE-01,ORD-01-007,STY-017,3,low,7.8,46,41,0.8913,1150,1026,0.8922,0,514,9,0.0175,available,0,manpower,0.817,0.0,1,2300,2081,1,0,train,synthetic
SNAP-000054,FAC-001,2025-03-06T13:00:00+00:00,2025-03-06,LINE-01,ORD-01-007,STY-017,4,low,7.8,50,48,0.96,1150,851,0.74,0,390,5,0.0128,critical,0,material,0.7852,0.0,1,2300,1697,1,0,train,synthetic
SNAP-000055,FAC-001,2025-03-08T13:00:00+00:00,2025-03-08,LINE-01,ORD-01-007,STY-017,5,low,7.8,49,45,0.9184,1150,1058,0.92,8,550,9,0.0164,available,0,none,0.8093,0.0,1,2300,2204,1,0,train,synthetic
SNAP-000056,FAC-001,2025-03-09T13:00:00+00:00,2025-03-09,LINE-01,ORD-01-007,STY-017,6,low,7.8,47,44,0.9362,1150,1131,0.9835,0,533,5,0.0094,available,0,none,0.867,2.67,1,2300,2187,1,0,train,synthetic
SNAP-000057,FAC-001,2025-03-10T13:00:00+00:00,2025-03-10,LINE-01,ORD-01-007,STY-017,7,low,7.8,46,45,0.9783,1150,1256,1.0922,0,679,20,0.0295,available,0,none,0.8823,8.0,1,2300,2296,1,0,train,synthetic
SNAP-000058,FAC-001,2025-03-11T13:00:00+00:00,2025-03-11,LINE-01,ORD-01-007,STY-017,8,low,7.8,47,45,0.9574,775,721,0.9303,0,328,13,0.0396,available,0,none,0.9691,19.33,1,1548,1329,1,0,train,synthetic
SNAP-000059,FAC-001,2025-03-12T13:00:00+00:00,2025-03-12,LINE-01,ORD-01-007,STY-017,9,low,7.8,48,45,0.9375,110,111,1.0091,0,52,1,0.0192,available,0,none,0.9359,31.67,1,219,217,1,0,train,synthetic
SNAP-000060,FAC-001,2025-03-13T13:00:00+00:00,2025-03-13,LINE-01,ORD-01-007,STY-017,10,low,7.8,48,43,0.8958,2,2,1.0,0,1,0,0.0,available,0,manpower,0.9492,26.33,1,2,2,0,0,train,synthetic
SNAP-000061,FAC-001,2025-03-15T13:00:00+00:00,2025-03-15,LINE-01,ORD-01-008,STY-033,1,low,8.0,47,45,0.9574,1150,778,0.6765,0,398,9,0.0226,available,49,planning,0.9498,15.0,0,2300,1694,1,0,train,synthetic
SNAP-000062,FAC-001,2025-03-16T13:00:00+00:00,2025-03-16,LINE-01,ORD-01-008,STY-033,2,low,8.0,50,42,0.84,1150,913,0.7939,0,458,8,0.0175,available,0,manpower,0.9091,0.0,1,2300,1758,1,0,train,synthetic
SNAP-000063,FAC-001,2025-03-17T13:00:00+00:00,2025-03-17,LINE-01,ORD-01-008,STY-033,3,low,8.0,50,45,0.9,1150,1053,0.9157,0,447,13,0.0291,available,0,manpower,0.8336,0.0,1,2300,2143,1,0,train,synthetic
SNAP-000064,FAC-001,2025-03-18T13:00:00+00:00,2025-03-18,LINE-01,ORD-01-008,STY-033,4,low,8.0,47,46,0.9787,1150,1200,1.0435,0,582,17,0.0292,available,0,none,0.8109,0.0,1,2300,2366,0,0,train,synthetic
SNAP-000065,FAC-001,2025-03-19T13:00:00+00:00,2025-03-19,LINE-01,ORD-01-008,STY-033,5,low,8.0,46,45,0.9783,1150,1156,1.0052,15,582,7,0.012,available,0,none,0.9083,0.0,0,2300,2363,0,0,train,synthetic
SNAP-000066,FAC-001,2025-03-20T13:00:00+00:00,2025-03-20,LINE-01,ORD-01-008,STY-033,6,low,8.0,47,45,0.9574,1150,458,0.3983,90,214,2,0.0093,critical,0,material,0.9959,5.0,0,2300,1128,1,0,train,synthetic
SNAP-000067,FAC-001,2025-03-22T13:00:00+00:00,2025-03-22,LINE-01,ORD-01-008,STY-033,7,low,8.0,50,48,0.96,950,950,1.0,0,485,10,0.0206,available,0,none,0.8488,35.0,1,1898,1898,0,0,train,synthetic
SNAP-000068,FAC-001,2025-03-23T13:00:00+00:00,2025-03-23,LINE-01,ORD-01-009,STY-034,1,low,10.1,47,42,0.8936,1010,648,0.6416,0,316,1,0.0032,available,45,manpower,0.8393,35.0,0,2020,1380,1,0,train,synthetic
SNAP-000069,FAC-001,2025-03-24T13:00:00+00:00,2025-03-24,LINE-01,ORD-01-009,STY-034,2,low,10.1,49,41,0.8367,1010,775,0.7673,0,354,8,0.0226,available,0,manpower,0.7245,30.0,1,2020,1560,1,0,train,synthetic
SNAP-000070,FAC-001,2025-03-25T13:00:00+00:00,2025-03-25,LINE-01,ORD-01-009,STY-034,3,low,10.1,47,44,0.9362,1010,975,0.9653,0,517,6,0.0116,available,0,none,0.8185,0.0,1,2020,1913,1,0,train,synthetic
SNAP-000071,FAC-001,2025-03-26T13:00:00+00:00,2025-03-26,LINE-01,ORD-01-009,STY-034,4,low,10.1,50,47,0.94,1010,1011,1.001,0,515,2,0.0039,available,0,none,0.8008,0.0,1,2020,2038,0,0,train,synthetic
SNAP-000072,FAC-001,2025-03-27T13:00:00+00:00,2025-03-27,LINE-01,ORD-01-009,STY-034,5,low,10.1,50,49,0.98,1010,1058,1.0475,0,491,4,0.0081,available,0,none,0.9094,0.0,0,2020,2122,0,0,train,synthetic
SNAP-000073,FAC-001,2025-03-29T13:00:00+00:00,2025-03-29,LINE-01,ORD-01-009,STY-034,6,low,10.1,46,43,0.9348,1010,992,0.9822,0,500,7,0.014,available,0,none,1.0021,0.0,0,2020,2006,1,0,train,synthetic
SNAP-000074,FAC-001,2025-03-30T13:00:00+00:00,2025-03-30,LINE-01,ORD-01-009,STY-034,7,low,10.1,47,44,0.9362,491,507,1.0326,8,241,5,0.0207,available,0,none,1.0175,0.0,1,981,957,1,0,train,synthetic
SNAP-000075,FAC-001,2025-03-31T13:00:00+00:00,2025-03-31,LINE-01,ORD-01-009,STY-034,8,low,10.1,46,43,0.9348,14,13,0.9286,0,7,0,0.0,available,0,none,1.0064,12.0,1,24,23,1,0,train,synthetic
SNAP-000076,FAC-001,2025-04-01T13:00:00+00:00,2025-04-01,LINE-01,ORD-01-009,STY-034,9,low,10.1,49,44,0.898,1,1,1.0,0,0,0,0.0,available,0,manpower,0.9756,12.0,1,1,1,0,0,train,synthetic
SNAP-000077,FAC-001,2025-04-02T13:00:00+00:00,2025-04-02,LINE-01,ORD-01-010,STY-008,1,low,8.1,48,45,0.9375,1150,712,0.6191,0,339,7,0.0206,available,74,planning,0.978,12.0,0,2300,1591,1,0,train,synthetic
SNAP-000078,FAC-001,2025-04-03T13:00:00+00:00,2025-04-03,LINE-01,ORD-01-010,STY-008,2,low,8.1,50,46,0.92,1150,959,0.8339,24,487,12,0.0246,available,0,none,0.8834,0.0,1,2300,1929,1,0,train,synthetic
SNAP-000079,FAC-001,2025-04-05T13:00:00+00:00,2025-04-05,LINE-01,ORD-01-010,STY-008,3,low,8.1,50,47,0.94,1150,1071,0.9313,0,599,11,0.0184,available,0,none,0.8435,8.0,1,2300,2126,1,0,train,synthetic
SNAP-000080,FAC-001,2025-04-06T13:00:00+00:00,2025-04-06,LINE-01,ORD-01-010,STY-008,4,low,8.1,46,45,0.9783,1150,1185,1.0304,0,667,12,0.018,available,0,none,0.8183,11.67,1,2300,2275,1,0,train,synthetic
SNAP-000081,FAC-001,2025-04-07T13:00:00+00:00,2025-04-07,LINE-01,ORD-01-010,STY-008,5,low,8.1,50,49,0.98,1150,1153,1.0026,0,521,13,0.025,available,0,none,0.9174,18.33,1,2300,2391,0,0,train,synthetic
SNAP-000082,FAC-001,2025-04-08T13:00:00+00:00,2025-04-08,LINE-01,ORD-01-010,STY-008,6,low,8.1,47,45,0.9574,470,486,1.034,0,227,4,0.0176,available,0,none,0.9843,10.33,0,938,938,0,0,train,synthetic
SNAP-000083,FAC-001,2025-04-09T13:00:00+00:00,2025-04-09,LINE-01,ORD-01-011,STY-020,1,medium,20.3,46,43,0.9348,500,291,0.582,0,138,8,0.058,available,63,quality,1.0096,6.67,0,1000,641,1,1,train,synthetic
SNAP-000084,FAC-001,2025-04-10T13:00:00+00:00,2025-04-10,LINE-01,ORD-01-011,STY-020,2,medium,20.3,46,45,0.9783,500,344,0.688,0,168,2,0.0119,critical,0,material,0.8935,0.0,1,1000,675,1,0,train,synthetic
SNAP-000085,FAC-001,2025-04-12T13:00:00+00:00,2025-04-12,LINE-01,ORD-01-011,STY-020,3,medium,20.3,50,46,0.92,500,379,0.758,13,199,3,0.0151,minor,0,none,0.772,0.0,1,1000,770,1,0,train,synthetic
SNAP-000086,FAC-001,2025-04-13T13:00:00+00:00,2025-04-13,LINE-01,ORD-01-011,STY-020,4,medium,20.3,48,47,0.9792,500,480,0.96,0,196,7,0.0357,available,0,none,0.6953,10.0,1,1000,947,1,0,train,synthetic
SNAP-000087,FAC-001,2025-04-14T13:00:00+00:00,2025-04-14,LINE-01,ORD-01-011,STY-020,5,medium,20.3,49,48,0.9796,500,539,1.078,0,262,11,0.042,available,0,none,0.7973,10.0,1,1000,1043,0,0,train,synthetic
SNAP-000088,FAC-001,2025-04-15T13:00:00+00:00,2025-04-15,LINE-01,ORD-01-011,STY-020,6,medium,20.3,47,45,0.9574,500,509,1.018,0,241,3,0.0124,available,0,none,0.92,10.0,0,1000,911,1,0,train,synthetic
SNAP-000089,FAC-001,2025-04-16T13:00:00+00:00,2025-04-16,LINE-01,ORD-01-011,STY-020,7,medium,20.3,49,47,0.9592,500,506,1.012,0,258,11,0.0426,available,0,none,0.967,18.33,1,1000,1013,0,0,train,synthetic
SNAP-000090,FAC-001,2025-04-17T13:00:00+00:00,2025-04-17,LINE-01,ORD-01-012,STY-008,1,low,8.1,47,44,0.9362,1150,572,0.4974,55,275,6,0.0218,available,58,machine,0.989,18.33,0,2300,1425,1,0,train,synthetic
SNAP-000091,FAC-001,2025-04-19T13:00:00+00:00,2025-04-19,LINE-01,ORD-01-012,STY-008,2,low,8.1,50,47,0.94,1150,980,0.8522,0,497,10,0.0201,available,0,none,0.8479,41.67,1,2300,1924,1,0,train,synthetic
SNAP-000092,FAC-001,2025-04-20T13:00:00+00:00,2025-04-20,LINE-01,ORD-01-012,STY-008,3,low,8.1,48,46,0.9583,1150,1029,0.8948,0,438,21,0.0479,available,0,none,0.823,28.67,1,2300,1893,1,0,train,synthetic
SNAP-000093,FAC-001,2025-04-21T13:00:00+00:00,2025-04-21,LINE-01,ORD-01-012,STY-008,4,low,8.1,50,44,0.88,1150,730,0.6348,0,360,7,0.0194,critical,0,material,0.7597,39.33,1,2300,1434,1,0,train,synthetic
SNAP-000094,FAC-001,2025-04-22T13:00:00+00:00,2025-04-22,LINE-01,ORD-01-012,STY-008,5,low,8.1,46,43,0.9348,1150,1031,0.8965,35,499,12,0.024,available,0,machine,0.761,16.0,1,2300,2174,1,0,train,synthetic
SNAP-000095,FAC-001,2025-04-23T13:00:00+00:00,2025-04-23,LINE-01,ORD-01-012,STY-008,6,low,8.1,47,46,0.9787,1150,1119,0.973,18,469,11,0.0235,available,0,none,0.7972,22.33,1,2300,2322,0,0,train,synthetic
SNAP-000096,FAC-001,2025-04-24T13:00:00+00:00,2025-04-24,LINE-01,ORD-01-012,STY-008,7,low,8.1,47,46,0.9787,990,998,1.0081,0,471,14,0.0297,available,0,none,0.8594,17.67,0,1978,1978,0,0,train,synthetic
SNAP-000097,FAC-001,2025-04-26T13:00:00+00:00,2025-04-26,LINE-01,ORD-01-013,STY-006,1,medium,13.8,48,45,0.9375,740,439,0.5932,0,192,2,0.0104,available,78,planning,0.9849,17.67,0,1480,1015,1,0,train,synthetic
SNAP-000098,FAC-001,2025-04-27T13:00:00+00:00,2025-04-27,LINE-01,ORD-01-013,STY-006,2,medium,13.8,47,45,0.9574,740,643,0.8689,0,291,5,0.0172,available,0,none,0.8985,6.0,1,1480,1260,1,0,train,synthetic
SNAP-000099,FAC-001,2025-04-28T13:00:00+00:00,2025-04-28,LINE-01,ORD-01-013,STY-006,3,medium,13.8,50,45,0.9,740,659,0.8905,0,338,4,0.0118,available,0,manpower,0.8457,5.67,1,1480,1316,1,0,train,synthetic
SNAP-000100,FAC-001,2025-04-29T13:00:00+00:00,2025-04-29,LINE-01,ORD-01-013,STY-006,4,medium,13.8,48,47,0.9792,740,750,1.0135,0,365,10,0.0274,available,0,none,0.8088,5.67,1,1480,1537,0,0,train,synthetic
SNAP-000101,FAC-001,2025-04-30T13:00:00+00:00,2025-04-30,LINE-01,ORD-01-013,STY-006,5,medium,13.8,49,46,0.9388,740,646,0.873,0,333,18,0.0541,available,0,none,0.9264,5.67,0,1480,1292,1,0,train,synthetic
SNAP-000102,FAC-001,2025-05-01T13:00:00+00:00,2025-05-01,LINE-01,ORD-01-013,STY-006,6,medium,13.8,48,45,0.9375,740,732,0.9892,0,310,8,0.0258,available,0,none,0.9336,4.67,1,1480,1429,1,0,validation,synthetic
SNAP-000103,FAC-001,2025-05-03T13:00:00+00:00,2025-05-03,LINE-01,ORD-01-013,STY-006,7,medium,13.8,47,46,0.9787,740,688,0.9297,34,380,10,0.0263,available,0,none,0.959,4.67,1,1480,1453,1,0,validation,synthetic
SNAP-000104,FAC-001,2025-05-04T13:00:00+00:00,2025-05-04,LINE-01,ORD-01-013,STY-006,8,medium,13.8,47,40,0.8511,740,679,0.9176,0,283,10,0.0353,available,0,manpower,0.9401,16.0,1,1480,1340,1,0,validation,synthetic
SNAP-000105,FAC-001,2025-05-05T13:00:00+00:00,2025-05-05,LINE-01,ORD-01-013,STY-006,9,medium,13.8,46,44,0.9565,80,71,0.8875,0,33,0,0.0,minor,0,none,0.9509,11.33,1,158,131,1,0,validation,synthetic
