order_id,factory_id,line_id,style_id,order_quantity,sam_minutes,complexity_band,planned_duration_days,schedule_slack_days,line_prior_14d_efficiency,planned_start_date,committed_due_date,actual_completion_date,label_order_delayed,data_split,dataset_provenance
ORD-02-008,FAC-001,LINE-02,STY-002,11150,9.4,low,5,0,0.9406,2025-03-16,2025-03-20,2025-03-23,1,train,synthetic
ORD-02-009,FAC-001,LINE-02,STY-006,7800,13.8,medium,5,2,0.8995,2025-03-24,2025-03-31,2025-03-30,0,train,synthetic
ORD-02-010,FAC-001,LINE-02,STY-007,12450,17.9,medium,10,0,0.8625,2025-03-31,2025-04-10,2025-04-13,1,train,synthetic
ORD-02-011,FAC-001,LINE-02,STY-024,10750,7.6,low,5,1,0.9075,2025-04-14,2025-04-20,2025-04-20,0,train,synthetic
ORD-02-012,FAC-001,LINE-02,STY-005,6850,25.0,high,8,2,0.8985,2025-04-21,2025-05-01,2025-05-01,0,train,synthetic
ORD-02-013,FAC-001,LINE-02,STY-001,12600,8.8,low,6,1,0.9204,2025-05-03,2025-05-10,2025-05-10,0,validation,synthetic
ORD-02-014,FAC-001,LINE-02,STY-036,5850,19.7,medium,5,1,0.9397,2025-05-11,2025-05-17,2025-05-20,1,validation,synthetic
ORD-02-015,FAC-001,LINE-02,STY-001,16150,8.8,low,7,0,0.9272,2025-05-21,2025-05-28,2025-05-29,1,validation,synthetic
ORD-02-016,FAC-001,LINE-02,STY-019,6400,16.5,medium,5,0,0.9277,2025-05-31,2025-06-04,2025-06-09,1,validation,synthetic
ORD-02-017,FAC-001,LINE-02,STY-022,11550,13.3,medium,7,1,0.8992,2025-06-10,2025-06-18,2025-06-18,0,test,synthetic
ORD-03-001,FAC-001,LINE-03,STY-035,6950,14.5,medium,5,0,0.92,2025-01-04,2025-01-08,2025-01-12,1,train,synthetic
ORD-03-002,FAC-001,LINE-03,STY-018,7450,10.2,low,4,1,0.893,2025-01-13,2025-01-18,2025-01-20,1,train,synthetic
ORD-03-003,FAC-001,LINE-03,STY-017,14300,7.8,low,7,0,0.8884,2025-01-21,2025-01-28,2025-01-30,1,train,synthetic
ORD-03-004,FAC-001,LINE-03,STY-007,11050,17.9,medium,10,1,0.9069,2025-02-01,2025-02-12,2025-02-15,1,train,synthetic
ORD-03-005,FAC-001,LINE-03,STY-035,5400,14.5,medium,4,0,0.8929,2025-02-16,2025-02-19,2025-02-23,1,train,synthetic
ORD-03-006,FAC-001,LINE-03,STY-034,15350,10.1,low,8,1,0.8868,2025-02-24,2025-03-05,2025-03-05,0,train,synthetic
ORD-03-007,FAC-001,LINE-03,STY-005,5050,25.0,high,6,1,0.9372,2025-03-06,2025-03-13,2025-03-15,1,train,synthetic
ORD-03-008,FAC-001,LINE-03,STY-008,19200,8.1,low,9,1,0.9307,2025-03-16,2025-03-26,2025-03-27,1,train,synthetic
ORD-03-009,FAC-001,LINE-03,STY-018,9700,10.2,low,5,1,0.9282,2025-03-29,2025-04-03,2025-04-03,0,train,synthetic
ORD-03-010,FAC-001,LINE-03,STY-005,3800,25.0,high,5,1,0.938,2025-04-05,2025-04-10,2025-04-14,1,train,synthetic
ORD-03-011,FAC-001,LINE-03,STY-034,8150,10.1,low,4,1,0.8711,2025-04-15,2025-04-20,2025-04-22,1,train,synthetic
ORD-03-012,FAC-001,LINE-03,STY-007,10900,17.9,medium,10,0,0.8475,2025-04-23,2025-05-04,2025-05-06,1,train,synthetic
ORD-03-013,FAC-001,LINE-03,STY-005,8500,25.0,high,10,1,0.9406,2025-05-07,2025-05-19,2025-05-20,1,validation,synthetic
ORD-03-014,FAC-001,LINE-03,STY-002,19350,9.4,low,9,1,0.935,2025-05-21,2025-06-01,2025-06-01,0,validation,synthetic
ORD-03-015,FAC-001,LINE-03,STY-017,19700,7.8,low,9,2,0.9288,2025-06-02,2025-06-14,2025-06-14,0,test,synthetic
ORD-03-016,FAC-001,LINE-03,STY-005,7550,25.0,high,10,1,0.9138,2025-06-15,2025-06-26,2025-06-28,1,test,synthetic
ORD-04-001,FAC-001,LINE-04,STY-009,5900,28.8,high,8,2,0.92,2025-01-04,2025-01-14,2025-01-14,0,train,synthetic
ORD-04-002,FAC-001,LINE-04,STY-016,6600,17.7,medium,6,0,0.9222,2025-01-15,2025-01-21,2025-01-21,0,train,synthetic
ORD-04-003,FAC-001,LINE-04,STY-025,3050,26.4,high,4,1,0.941,2025-01-22,2025-01-27,2025-01-27,0,train,synthetic
ORD-04-004,FAC-001,LINE-04,STY-011,5750,26.3,high,7,1,0.8921,2025-01-28,2025-02-05,2025-02-06,1,train,synthetic
ORD-04-005,FAC-001,LINE-04,STY-009,6350,28.8,high,9,1,0.8622,2025-02-08,2025-02-18,2025-02-19,1,train,synthetic
ORD-04-006,FAC-001,LINE-04,STY-028,5350,32.6,high,9,1,0.9152,2025-02-20,2025-03-03,2025-03-02,0,train,synthetic
ORD-04-007,FAC-001,LINE-04,STY-015,4650,18.7,medium,4,0,0.9489,2025-03-03,2025-03-06,2025-03-09,1,train,synthetic
ORD-04-008,FAC-001,LINE-04,STY-011,5000,26.3,high,6,1,0.9287,2025-03-10,2025-03-17,2025-03-18,1,train,synthetic
ORD-04-009,FAC-001,LINE-04,STY-012,2700,31.0,high,4,1,0.9104,2025-03-19,2025-03-24,2025-03-25,1,train,synthetic
ORD-04-010,FAC-001,LINE-04,STY-028,3950,32.6,high,6,1,0.9232,2025-03-26,2025-04-02,2025-04-03,1,train,synthetic
ORD-04-011,FAC-001,LINE-04,STY-025,4850,26.4,high,6,0,0.9241,2025-04-05,2025-04-10,2025-04-13,1,train,synthetic
ORD-04-012,FAC-001,LINE-04,STY-014,3000,41.6,high,6,1,0.9621,2025-04-14,2025-04-21,2025-04-22,1,train,synthetic
ORD-04-013,FAC-001,LINE-04,STY-015,9450,18.7,medium,9,1,0.9352,2025-04-23,2025-05-04,2025-05-04,0,train,synthetic
ORD-04-014,FAC-001,LINE-04,STY-029,4950,27.5,high,7,0,0.9172,2025-05-05,2025-05-12,2025-05-13,1,validation,synthetic
ORD-04-015,FAC-001,LINE-04,STY-031,3800,22.0,medium,4,0,0.9385,2025-05-14,2025-05-18,2025-05-21,1,validation,synthetic
ORD-04-016,FAC-001,LINE-04,STY-009,6100,28.8,high,9,2,0.9267,2025-05-22,2025-06-03,2025-06-01,0,validation,synthetic
ORD-04-017,FAC-001,LINE-04,STY-029,7050,27.5,high,9,0,0.9499,2025-06-02,2025-06-11,2025-06-12,1,test,synthetic
ORD-04-018,FAC-001,LINE-04,STY-027,5600,27.7,high,8,1,0.9643,2025-06-14,2025-06-23,2025-06-22,0,test,synthetic
ORD-05-001,FAC-001,LINE-05,STY-016,11600,17.7,medium,10,1,0.92,2025-01-04,2025-01-15,2025-01-16,1,train,synthetic
ORD-05-002,FAC-001,LINE-05,STY-027,6000,27.7,high,8,0,0.8707,2025-01-18,2025-01-26,2025-01-28,1,train,synthetic
ORD-05-003,FAC-001,LINE-05,STY-031,5300,22.0,medium,6,1,0.901,2025-01-29,2025-02-05,2025-02-06,1,train,synthetic
ORD-05-004,FAC-001,LINE-05,STY-011,5000,26.3,high,7,2,0.9451,2025-02-08,2025-02-17,2025-02-17,0,train,synthetic
ORD-05-005,FAC-001,LINE-05,STY-025,5750,26.4,high,8,2,0.9393,2025-02-18,2025-03-01,2025-02-27,0,train,synthetic
ORD-05-006,FAC-001,LINE-05,STY-028,4200,32.6,high,7,1,0.9192,2025-03-01,2025-03-09,2025-03-09,0,train,synthetic
ORD-05-007,FAC-001,LINE-05,STY-030,2200,37.0,high,4,0,0.9415,2025-03-10,2025-03-13,2025-03-17,1,train,synthetic
ORD-05-008,FAC-001,LINE-05,STY-029,5950,27.5,high,9,0,0.8983,2025-03-18,2025-03-27,2025-03-29,1,train,synthetic
ORD-05-009,FAC-001,LINE-05,STY-013,4200,27.4,high,6,2,0.9177,2025-03-30,2025-04-07,2025-04-06,0,train,synthetic
ORD-05-010,FAC-001,LINE-05,STY-031,6550,22.0,medium,7,0,0.902,2025-04-07,2025-04-14,2025-04-16,1,train,synthetic
ORD-05-011,FAC-001,LINE-05,STY-009,5100,28.8,high,8,0,0.9178,2025-04-17,2025-04-26,2025-04-26,0,train,synthetic
ORD-05-012,FAC-001,LINE-05,STY-030,3050,37.0,high,6,1,0.9372,2025-04-27,2025-05-04,2025-05-05,1,train,synthetic
ORD-05-013,FAC-001,LINE-05,STY-009,7100,28.8,high,10,1,0.918,2025-05-06,2025-05-18,2025-05-20,1,validation,synthetic
ORD-05-014,FAC-001,LINE-05,STY-013,3750,27.4,high,5,1,0.9085,2025-05-21,2025-05-27,2025-05-29,1,validation,synthetic
ORD-05-015,FAC-001,LINE-05,STY-012,6050,31.0,high,9,2,0.8829,2025-05-31,2025-06-11,2025-06-12,1,validation,synthetic
ORD-05-016,FAC-001,LINE-05,STY-016,4100,17.7,medium,4,1,0.9361,2025-06-14,2025-06-18,2025-06-18,0,test,synthetic
ORD-05-017,FAC-001,LINE-05,STY-028,4100,32.6,high,7,0,0.955,2025-06-19,2025-06-26,2025-06-28,1,test,synthetic
ORD-06-001,FAC-001,LINE-06,STY-030,3050,37.0,high,7,2,0.92,2025-01-04,2025-01-13,2025-01-12,0,train,synthetic
ORD-06-002,FAC-001,LINE-06,STY-032,5950,18.7,medium,6,0,0.874,2025-01-13,2025-01-19,2025-01-22,1,train,synthetic
ORD-06-003,FAC-001,LINE-06,STY-031,4500,22.0,medium,6,1,0.9009,2025-01-23,2025-01-30,2025-01-29,0,train,synthetic
ORD-06-004,FAC-001,LINE-06,STY-025,3150,26.4,high,5,2,0.9121,2025-01-30,2025-02-06,2025-02-05,0,train,synthetic
ORD-06-005,FAC-001,LINE-06,STY-032,6950,18.7,medium,7,2,0.8999,2025-02-06,2025-02-16,2025-02-18,1,train,synthetic
ORD-06-006,FAC-001,LINE-06,STY-015,6900,18.7,medium,7,1,0.8577,2025-02-19,2025-02-27,2025-03-02,1,train,synthetic
ORD-06-007,FAC-001,LINE-06,STY-025,2800,26.4,high,4,0,0.8902,2025-03-03,2025-03-06,2025-03-08,1,train,synthetic
ORD-06-008,FAC-001,LINE-06,STY-015,5000,18.7,medium,5,1,0.8897,2025-03-09,2025-03-15,2025-03-17,1,train,synthetic
ORD-06-009,FAC-001,LINE-06,STY-029,3300,27.5,high,5,1,0.8776,2025-03-18,2025-03-24,2025-03-24,0,train,synthetic
ORD-06-010,FAC-001,LINE-06,STY-010,4900,24.7,medium,7,1,0.8943,2025-03-25,2025-04-02,2025-04-03,1,train,synthetic
ORD-06-011,FAC-001,LINE-06,STY-016,9550,17.7,medium,10,1,0.8873,2025-04-05,2025-04-16,2025-04-16,0,train,synthetic
ORD-06-012,FAC-001,LINE-06,STY-012,5300,31.0,high,10,1,0.9067,2025-04-17,2025-04-29,2025-04-28,0,train,synthetic
ORD-06-013,FAC-001,LINE-06,STY-029,2400,27.5,high,4,0,0.9235,2025-04-29,2025-05-03,2025-05-05,1,train,synthetic
ORD-06-014,FAC-001,LINE-06,STY-010,4850,24.7,medium,7,1,0.9453,2025-05-06,2025-05-14,2025-05-15,1,validation,synthetic
ORD-06-015,FAC-001,LINE-06,STY-026,4900,22.1,medium,6,1,0.931,2025-05-17,2025-05-24,2025-05-26,1,validation,synthetic
ORD-06-016,FAC-001,LINE-06,STY-028,4450,32.6,high,8,1,0.9368,2025-05-27,2025-06-05,2025-06-08,1,validation,synthetic
ORD-06-017,FAC-001,LINE-06,STY-010,4250,24.7,medium,6,2,0.8886,2025-06-09,2025-06-17,2025-06-16,0,test,synthetic
ORD-06-018,FAC-001,LINE-06,STY-011,4450,26.3,high,7,1,0.9313,2025-06-17,2025-06-25,2025-06-24,0,test,synthetic
ORD-07-001,FAC-001,LINE-07,STY-009,6600,28.8,high,9,1,0.92,2025-01-04,2025-01-14,2025-01-15,1,train,synthetic
ORD-07-002,FAC-001,LINE-07,STY-032,10250,18.7,medium,10,0,0.9165,2025-01-16,2025-01-27,2025-01-29,1,train,synthetic
ORD-07-003,FAC-001,LINE-07,STY-012,5150,31.0,high,8,1,0.9337,2025-01-30,2025-02-09,2025-02-11,1,train,synthetic
ORD-07-004,FAC-001,LINE-07,STY-026,8800,22.1,medium,10,0,0.9124,2025-02-12,2025-02-23,2025-02-24,1,train,synthetic
ORD-07-005,FAC-001,LINE-07,STY-032,8800,18.7,medium,8,1,0.9056,2025-02-25,2025-03-06,2025-03-06,0,train,synthetic
ORD-07-006,FAC-001,LINE-07,STY-015,8250,18.7,medium,7,1,0.8984,2025-03-08,2025-03-16,2025-03-17,1,train,synthetic
ORD-07-007,FAC-001,LINE-07,STY-011,4950,26.3,high,6,1,0.911,2025-03-18,2025-03-25,2025-03-25,0,train,synthetic
ORD-07-008,FAC-001,LINE-07,STY-029,5100,27.5,high,7,2,0.9219,2025-03-26,2025-04-05,2025-04-06,1,train,synthetic
ORD-07-009,FAC-001,LINE-07,STY-011,6700,26.3,high,8,1,0.8941,2025-04-07,2025-04-16,2025-04-19,1,train,synthetic
ORD-07-010,FAC-001,LINE-07,STY-016,6500,17.7,medium,6,1,0.8954,2025-04-20,2025-04-27,2025-04-27,0,train,synthetic
ORD-07-011,FAC-001,LINE-07,STY-032,6450,18.7,medium,6,2,0.9607,2025-04-28,2025-05-06,2025-05-06,0,train,synthetic
ORD-07-012,FAC-001,LINE-07,STY-014,4150,41.6,high,9,1,0.9414,2025-05-07,2025-05-18,2025-05-18,0,validation,synthetic
ORD-07-013,FAC-001,LINE-07,STY-016,11550,17.7,medium,10,1,0.9359,2025-05-19,2025-05-31,2025-05-29,0,validation,synthetic
ORD-07-014,FAC-001,LINE-07,STY-028,2450,32.6,high,4,0,0.9475,2025-05-31,2025-06-03,2025-06-04,1,validation,synthetic
ORD-07-015,FAC-001,LINE-07,STY-030,3550,37.0,high,6,1,0.956,2025-06-05,2025-06-12,2025-06-14,1,test,synthetic
ORD-07-016,FAC-001,LINE-07,STY-032,8750,18.7,medium,8,1,0.8922,2025-06-15,2025-06-24,2025-06-25,1,test,synthetic
ORD-08-001,FAC-001,LINE-08,STY-018,5100,10.2,low,4,1,0.92,2025-01-04,2025-01-08,2025-01-08,0,train,synthetic
ORD-08-002,FAC-001,LINE-08,STY-016,5800,17.7,medium,8,1,0.9123,2025-01-09,2025-01-19,2025-01-19,0,train,synthetic
ORD-08-003,FAC-001,LINE-08,STY-028,3400,32.6,high,8,0,0.9013,2025-01-20,2025-01-28,2025-01-28,0,train,synthetic
ORD-08-004,FAC-001,LINE-08,STY-035,6850,14.5,medium,7,1,0.9428,2025-01-29,2025-02-06,2025-02-08,1,train,synthetic
ORD-08-005,FAC-001,LINE-08,STY-012,3000,31.0,high,7,0,0.8909,2025-02-09,2025-02-16,2025-02-18,1,train,synthetic
ORD-08-006,FAC-001,LINE-08,STY-022,8550,13.3,medium,8,0,0.9037,2025-02-19,2025-02-27,2025-03-03,1,train,synthetic
ORD-08-007,FAC-001,LINE-08,STY-001,6450,8.8,low,4,1,0.9256,2025-03-04,2025-03-09,2025-03-10,1,train,synthetic
ORD-08-008,FAC-001,LINE-08,STY-002,11850,9.4,low,8,1,0.9265,2025-03-11,2025-03-20,2025-03-22,1,train,synthetic
ORD-08-009,FAC-001,LINE-08,STY-027,1900,27.7,high,4,0,0.9471,2025-03-23,2025-03-26,2025-03-29,1,train,synthetic
ORD-08-010,FAC-001,LINE-08,STY-036,6600,19.7,medium,9,0,0.9453,2025-03-30,2025-04-08,2025-04-09,1,train,synthetic
ORD-08-011,FAC-001,LINE-08,STY-011,4950,26.3,high,10,0,0.9507,2025-04-10,2025-04-21,2025-04-21,0,train,synthetic
ORD-08-012,FAC-001,LINE-08,STY-033,8150,8.0,low,5,1,0.9423,2025-04-22,2025-04-28,2025-04-28,0,train,synthetic
ORD-08-013,FAC-001,LINE-08,STY-003,8350,13.9,medium,9,0,0.9533,2025-04-29,2025-05-08,2025-05-08,0,train,synthetic
ORD-08-014,FAC-001,LINE-08,STY-025,2650,26.4,high,5,2,0.9227,2025-05-10,2025-05-17,2025-05-18,1,validation,synthetic
ORD-08-015,FAC-001,LINE-08,STY-006,6800,13.8,medium,7,0,0.9363,2025-05-19,2025-05-26,2025-05-28,1,validation,synthetic
ORD-08-016,FAC-001,LINE-08,STY-012,4700,31.0,high,10,2,0.9224,2025-05-29,2025-06-11,2025-06-12,1,validation,synthetic
ORD-08-017,FAC-001,LINE-08,STY-018,9000,10.2,low,7,0,0.8946,2025-06-14,2025-06-21,2025-06-22,1,test,synthetic
