order_id,factory_id,style_id,order_code,order_quantity,planned_start_date,planned_end_date,committed_due_date,actual_completion_at,priority,status,label_order_delayed,data_split,dataset_provenance
ORD-02-005,FAC-001,STY-008,PO-02-005,15550,2025-02-12,2025-02-19,2025-02-19,2025-02-20T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-02-006,FAC-001,STY-005,PO-02-006,8550,2025-02-22,2025-03-04,2025-03-06,2025-03-05T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-02-007,FAC-001,STY-033,PO-02-007,15300,2025-03-06,2025-03-13,2025-03-16,2025-03-15T17:59:00+00:00,high,completed,0,train,synthetic
ORD-02-008,FAC-001,STY-002,PO-02-008,11150,2025-03-16,2025-03-20,2025-03-20,2025-03-23T17:59:00+00:00,high,completed,1,train,synthetic
ORD-02-009,FAC-001,STY-006,PO-02-009,7800,2025-03-24,2025-03-29,2025-03-31,2025-03-30T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-02-010,FAC-001,STY-007,PO-02-010,12450,2025-03-31,2025-04-10,2025-04-10,2025-04-13T17:59:00+00:00,high,completed,1,train,synthetic
ORD-02-011,FAC-001,STY-024,PO-02-011,10750,2025-04-14,2025-04-19,2025-04-20,2025-04-20T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-02-012,FAC-001,STY-005,PO-02-012,6850,2025-04-21,2025-04-29,2025-05-01,2025-05-01T17:59:00+00:00,high,completed,0,train,synthetic
ORD-02-013,FAC-001,STY-001,PO-02-013,12600,2025-05-03,2025-05-08,2025-05-10,2025-05-10T17:59:00+00:00,normal,completed,0,validation,synthetic
ORD-02-014,FAC-001,STY-036,PO-02-014,5850,2025-05-11,2025-05-15,2025-05-17,2025-05-20T08:59:00+00:00,normal,completed,1,validation,synthetic
ORD-02-015,FAC-001,STY-001,PO-02-015,16150,2025-05-21,2025-05-28,2025-05-28,2025-05-29T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-02-016,FAC-001,STY-019,PO-02-016,6400,2025-05-31,2025-06-04,2025-06-04,2025-06-09T09:59:00+00:00,urgent,completed,1,validation,synthetic
ORD-02-017,FAC-001,STY-022,PO-02-017,11550,2025-06-10,2025-06-17,2025-06-18,2025-06-18T17:59:00+00:00,high,completed,0,test,synthetic
ORD-02-018,FAC-001,STY-023,PO-02-018,12150,2025-06-19,2025-06-30,2025-06-30,,normal,in_progress,,test,synthetic
ORD-03-001,FAC-001,STY-035,PO-03-001,6950,2025-01-04,2025-01-08,2025-01-08,2025-01-12T09:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-002,FAC-001,STY-018,PO-03-002,7450,2025-01-13,2025-01-16,2025-01-18,2025-01-20T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-003,FAC-001,STY-017,PO-03-003,14300,2025-01-21,2025-01-28,2025-01-28,2025-01-30T12:59:00+00:00,high,completed,1,train,synthetic
ORD-03-004,FAC-001,STY-007,PO-03-004,11050,2025-02-01,2025-02-11,2025-02-12,2025-02-15T17:59:00+00:00,high,completed,1,train,synthetic
ORD-03-005,FAC-001,STY-035,PO-03-005,5400,2025-02-16,2025-02-19,2025-02-19,2025-02-23T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-006,FAC-001,STY-034,PO-03-006,15350,2025-02-24,2025-03-04,2025-03-05,2025-03-05T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-03-007,FAC-001,STY-005,PO-03-007,5050,2025-03-06,2025-03-12,2025-03-13,2025-03-15T09:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-008,FAC-001,STY-008,PO-03-008,19200,2025-03-16,2025-03-25,2025-03-26,2025-03-27T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-009,FAC-001,STY-018,PO-03-009,9700,2025-03-29,2025-04-02,2025-04-03,2025-04-03T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-03-010,FAC-001,STY-005,PO-03-010,3800,2025-04-05,2025-04-09,2025-04-10,2025-04-14T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-03-011,FAC-001,STY-034,PO-03-011,8150,2025-04-15,2025-04-19,2025-04-20,2025-04-22T17:59:00+00:00,high,completed,1,train,synthetic
ORD-03-012,FAC-001,STY-007,PO-03-012,10900,2025-04-23,2025-05-04,2025-05-04,2025-05-06T09:59:00+00:00,urgent,completed,1,train,synthetic
ORD-03-013,FAC-001,STY-005,PO-03-013,8500,2025-05-07,2025-05-18,2025-05-19,2025-05-20T17:59:00+00:00,high,completed,1,validation,synthetic
ORD-03-014,FAC-001,STY-002,PO-03-014,19350,2025-05-21,2025-05-31,2025-06-01,2025-06-01T17:59:00+00:00,normal,completed,0,validation,synthetic
ORD-03-015,FAC-001,STY-017,PO-03-015,19700,2025-06-02,2025-06-11,2025-06-14,2025-06-14T17:59:00+00:00,high,completed,0,test,synthetic
ORD-03-016,FAC-001,STY-005,PO-03-016,7550,2025-06-15,2025-06-25,2025-06-26,2025-06-28T11:59:00+00:00,normal,completed,1,test,synthetic
ORD-03-017,FAC-001,STY-017,PO-03-017,12650,2025-06-29,2025-07-05,2025-07-06,,normal,in_progress,,test,synthetic
ORD-04-001,FAC-001,STY-009,PO-04-001,5900,2025-01-04,2025-01-12,2025-01-14,2025-01-14T17:59:00+00:00,high,completed,0,train,synthetic
ORD-04-002,FAC-001,STY-016,PO-04-002,6600,2025-01-15,2025-01-21,2025-01-21,2025-01-21T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-04-003,FAC-001,STY-025,PO-04-003,3050,2025-01-22,2025-01-26,2025-01-27,2025-01-27T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-04-004,FAC-001,STY-011,PO-04-004,5750,2025-01-28,2025-02-04,2025-02-05,2025-02-06T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-005,FAC-001,STY-009,PO-04-005,6350,2025-02-08,2025-02-17,2025-02-18,2025-02-19T09:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-006,FAC-001,STY-028,PO-04-006,5350,2025-02-20,2025-03-02,2025-03-03,2025-03-02T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-04-007,FAC-001,STY-015,PO-04-007,4650,2025-03-03,2025-03-06,2025-03-06,2025-03-09T12:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-008,FAC-001,STY-011,PO-04-008,5000,2025-03-10,2025-03-16,2025-03-17,2025-03-18T11:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-009,FAC-001,STY-012,PO-04-009,2700,2025-03-19,2025-03-23,2025-03-24,2025-03-25T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-010,FAC-001,STY-028,PO-04-010,3950,2025-03-26,2025-04-01,2025-04-02,2025-04-03T10:59:00+00:00,high,completed,1,train,synthetic
ORD-04-011,FAC-001,STY-025,PO-04-011,4850,2025-04-05,2025-04-10,2025-04-10,2025-04-13T10:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-012,FAC-001,STY-014,PO-04-012,3000,2025-04-14,2025-04-20,2025-04-21,2025-04-22T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-04-013,FAC-001,STY-015,PO-04-013,9450,2025-04-23,2025-05-03,2025-05-04,2025-05-04T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-04-014,FAC-001,STY-029,PO-04-014,4950,2025-05-05,2025-05-12,2025-05-12,2025-05-13T17:59:00+00:00,high,completed,1,validation,synthetic
ORD-04-015,FAC-001,STY-031,PO-04-015,3800,2025-05-14,2025-05-18,2025-05-18,2025-05-21T08:59:00+00:00,normal,completed,1,validation,synthetic
ORD-04-016,FAC-001,STY-009,PO-04-016,6100,2025-05-22,2025-06-01,2025-06-03,2025-06-01T17:59:00+00:00,normal,completed,0,validation,synthetic
ORD-04-017,FAC-001,STY-029,PO-04-017,7050,2025-06-02,2025-06-11,2025-06-11,2025-06-12T17:59:00+00:00,normal,completed,1,test,synthetic
ORD-04-018,FAC-001,STY-027,PO-04-018,5600,2025-06-14,2025-06-22,2025-06-23,2025-06-22T17:59:00+00:00,normal,completed,0,test,synthetic
ORD-04-019,FAC-001,STY-015,PO-04-019,7200,2025-06-23,2025-06-30,2025-07-01,,urgent,in_progress,,test,synthetic
ORD-05-001,FAC-001,STY-016,PO-05-001,11600,2025-01-04,2025-01-14,2025-01-15,2025-01-16T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-05-002,FAC-001,STY-027,PO-05-002,6000,2025-01-18,2025-01-26,2025-01-26,2025-01-28T17:59:00+00:00,high,completed,1,train,synthetic
ORD-05-003,FAC-001,STY-031,PO-05-003,5300,2025-01-29,2025-02-04,2025-02-05,2025-02-06T08:59:00+00:00,urgent,completed,1,train,synthetic
ORD-05-004,FAC-001,STY-011,PO-05-004,5000,2025-02-08,2025-02-15,2025-02-17,2025-02-17T11:59:00+00:00,normal,completed,0,train,synthetic
ORD-05-005,FAC-001,STY-025,PO-05-005,5750,2025-02-18,2025-02-26,2025-03-01,2025-02-27T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-05-006,FAC-001,STY-028,PO-05-006,4200,2025-03-01,2025-03-08,2025-03-09,2025-03-09T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-05-007,FAC-001,STY-030,PO-05-007,2200,2025-03-10,2025-03-13,2025-03-13,2025-03-17T12:59:00+00:00,high,completed,1,train,synthetic
ORD-05-008,FAC-001,STY-029,PO-05-008,5950,2025-03-18,2025-03-27,2025-03-27,2025-03-29T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-05-009,FAC-001,STY-013,PO-05-009,4200,2025-03-30,2025-04-05,2025-04-07,2025-04-06T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-05-010,FAC-001,STY-031,PO-05-010,6550,2025-04-07,2025-04-14,2025-04-14,2025-04-16T17:59:00+00:00,high,completed,1,train,synthetic
ORD-05-011,FAC-001,STY-009,PO-05-011,5100,2025-04-17,2025-04-26,2025-04-26,2025-04-26T17:59:00+00:00,high,completed,0,train,synthetic
ORD-05-012,FAC-001,STY-030,PO-05-012,3050,2025-04-27,2025-05-03,2025-05-04,2025-05-05T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-05-013,FAC-001,STY-009,PO-05-013,7100,2025-05-06,2025-05-17,2025-05-18,2025-05-20T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-05-014,FAC-001,STY-013,PO-05-014,3750,2025-05-21,2025-05-26,2025-05-27,2025-05-29T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-05-015,FAC-001,STY-012,PO-05-015,6050,2025-05-31,2025-06-09,2025-06-11,2025-06-12T08:59:00+00:00,normal,completed,1,validation,synthetic
ORD-05-016,FAC-001,STY-016,PO-05-016,4100,2025-06-14,2025-06-17,2025-06-18,2025-06-18T17:59:00+00:00,normal,completed,0,test,synthetic
ORD-05-017,FAC-001,STY-028,PO-05-017,4100,2025-06-19,2025-06-26,2025-06-26,2025-06-28T17:59:00+00:00,normal,completed,1,test,synthetic
ORD-05-018,FAC-001,STY-015,PO-05-018,5450,2025-06-29,2025-07-03,2025-07-06,,normal,in_progress,,test,synthetic
ORD-06-001,FAC-001,STY-030,PO-06-001,3050,2025-01-04,2025-01-11,2025-01-13,2025-01-12T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-06-002,FAC-001,STY-032,PO-06-002,5950,2025-01-13,2025-01-19,2025-01-19,2025-01-22T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-06-003,FAC-001,STY-031,PO-06-003,4500,2025-01-23,2025-01-29,2025-01-30,2025-01-29T17:59:00+00:00,high,completed,0,train,synthetic
ORD-06-004,FAC-001,STY-025,PO-06-004,3150,2025-01-30,2025-02-04,2025-02-06,2025-02-05T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-06-005,FAC-001,STY-032,PO-06-005,6950,2025-02-06,2025-02-13,2025-02-16,2025-02-18T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-06-006,FAC-001,STY-015,PO-06-006,6900,2025-02-19,2025-02-26,2025-02-27,2025-03-02T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-06-007,FAC-001,STY-025,PO-06-007,2800,2025-03-03,2025-03-06,2025-03-06,2025-03-08T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-06-008,FAC-001,STY-015,PO-06-008,5000,2025-03-09,2025-03-13,2025-03-15,2025-03-17T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-06-009,FAC-001,STY-029,PO-06-009,3300,2025-03-18,2025-03-23,2025-03-24,2025-03-24T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-06-010,FAC-001,STY-010,PO-06-010,4900,2025-03-25,2025-04-01,2025-04-02,2025-04-03T17:59:00+00:00,high,completed,1,train,synthetic
ORD-06-011,FAC-001,STY-016,PO-06-011,9550,2025-04-05,2025-04-15,2025-04-16,2025-04-16T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-06-012,FAC-001,STY-012,PO-06-012,5300,2025-04-17,2025-04-28,2025-04-29,2025-04-28T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-06-013,FAC-001,STY-029,PO-06-013,2400,2025-04-29,2025-05-03,2025-05-03,2025-05-05T10:59:00+00:00,urgent,completed,1,train,synthetic
ORD-06-014,FAC-001,STY-010,PO-06-014,4850,2025-05-06,2025-05-13,2025-05-14,2025-05-15T11:59:00+00:00,normal,completed,1,validation,synthetic
ORD-06-015,FAC-001,STY-026,PO-06-015,4900,2025-05-17,2025-05-22,2025-05-24,2025-05-26T12:59:00+00:00,high,completed,1,validation,synthetic
ORD-06-016,FAC-001,STY-028,PO-06-016,4450,2025-05-27,2025-06-04,2025-06-05,2025-06-08T11:59:00+00:00,normal,completed,1,validation,synthetic
ORD-06-017,FAC-001,STY-010,PO-06-017,4250,2025-06-09,2025-06-15,2025-06-17,2025-06-16T17:59:00+00:00,normal,completed,0,test,synthetic
ORD-06-018,FAC-001,STY-011,PO-06-018,4450,2025-06-17,2025-06-24,2025-06-25,2025-06-24T17:59:00+00:00,normal,completed,0,test,synthetic
ORD-06-019,FAC-001,STY-026,PO-06-019,7600,2025-06-25,2025-07-05,2025-07-05,,normal,in_progress,,test,synthetic
ORD-07-001,FAC-001,STY-009,PO-07-001,6600,2025-01-04,2025-01-13,2025-01-14,2025-01-15T17:59:00+00:00,urgent,completed,1,train,synthetic
ORD-07-002,FAC-001,STY-032,PO-07-002,10250,2025-01-16,2025-01-27,2025-01-27,2025-01-29T08:59:00+00:00,normal,completed,1,train,synthetic
ORD-07-003,FAC-001,STY-012,PO-07-003,5150,2025-01-30,2025-02-08,2025-02-09,2025-02-11T09:59:00+00:00,high,completed,1,train,synthetic
ORD-07-004,FAC-001,STY-026,PO-07-004,8800,2025-02-12,2025-02-23,2025-02-23,2025-02-24T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-07-005,FAC-001,STY-032,PO-07-005,8800,2025-02-25,2025-03-05,2025-03-06,2025-03-06T17:59:00+00:00,high,completed,0,train,synthetic
ORD-07-006,FAC-001,STY-015,PO-07-006,8250,2025-03-08,2025-03-15,2025-03-16,2025-03-17T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-07-007,FAC-001,STY-011,PO-07-007,4950,2025-03-18,2025-03-24,2025-03-25,2025-03-25T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-07-008,FAC-001,STY-029,PO-07-008,5100,2025-03-26,2025-04-02,2025-04-05,2025-04-06T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-07-009,FAC-001,STY-011,PO-07-009,6700,2025-04-07,2025-04-15,2025-04-16,2025-04-19T09:59:00+00:00,normal,completed,1,train,synthetic
ORD-07-010,FAC-001,STY-016,PO-07-010,6500,2025-04-20,2025-04-26,2025-04-27,2025-04-27T08:59:00+00:00,high,completed,0,train,synthetic
ORD-07-011,FAC-001,STY-032,PO-07-011,6450,2025-04-28,2025-05-04,2025-05-06,2025-05-06T09:59:00+00:00,normal,completed,0,train,synthetic
ORD-07-012,FAC-001,STY-014,PO-07-012,4150,2025-05-07,2025-05-17,2025-05-18,2025-05-18T17:59:00+00:00,normal,completed,0,validation,synthetic
ORD-07-013,FAC-001,STY-016,PO-07-013,11550,2025-05-19,2025-05-29,2025-05-31,2025-05-29T17:59:00+00:00,high,completed,0,validation,synthetic
ORD-07-014,FAC-001,STY-028,PO-07-014,2450,2025-05-31,2025-06-03,2025-06-03,2025-06-04T17:59:00+00:00,high,completed,1,validation,synthetic
ORD-07-015,FAC-001,STY-030,PO-07-015,3550,2025-06-05,2025-06-11,2025-06-12,2025-06-14T17:59:00+00:00,normal,completed,1,test,synthetic
ORD-07-016,FAC-001,STY-032,PO-07-016,8750,2025-06-15,2025-06-23,2025-06-24,2025-06-25T15:59:00+00:00,normal,completed,1,test,synthetic
ORD-07-017,FAC-001,STY-029,PO-07-017,7200,2025-06-26,2025-07-06,2025-07-07,,normal,in_progress,,test,synthetic
ORD-08-001,FAC-001,STY-018,PO-08-001,5100,2025-01-04,2025-01-07,2025-01-08,2025-01-08T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-002,FAC-001,STY-016,PO-08-002,5800,2025-01-09,2025-01-18,2025-01-19,2025-01-19T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-003,FAC-001,STY-028,PO-08-003,3400,2025-01-20,2025-01-28,2025-01-28,2025-01-28T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-004,FAC-001,STY-035,PO-08-004,6850,2025-01-29,2025-02-05,2025-02-06,2025-02-08T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-005,FAC-001,STY-012,PO-08-005,3000,2025-02-09,2025-02-16,2025-02-16,2025-02-18T10:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-006,FAC-001,STY-022,PO-08-006,8550,2025-02-19,2025-02-27,2025-02-27,2025-03-03T10:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-007,FAC-001,STY-001,PO-08-007,6450,2025-03-04,2025-03-08,2025-03-09,2025-03-10T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-008,FAC-001,STY-002,PO-08-008,11850,2025-03-11,2025-03-19,2025-03-20,2025-03-22T16:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-009,FAC-001,STY-027,PO-08-009,1900,2025-03-23,2025-03-26,2025-03-26,2025-03-29T12:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-010,FAC-001,STY-036,PO-08-010,6600,2025-03-30,2025-04-08,2025-04-08,2025-04-09T17:59:00+00:00,normal,completed,1,train,synthetic
ORD-08-011,FAC-001,STY-011,PO-08-011,4950,2025-04-10,2025-04-21,2025-04-21,2025-04-21T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-012,FAC-001,STY-033,PO-08-012,8150,2025-04-22,2025-04-27,2025-04-28,2025-04-28T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-013,FAC-001,STY-003,PO-08-013,8350,2025-04-29,2025-05-08,2025-05-08,2025-05-08T17:59:00+00:00,normal,completed,0,train,synthetic
ORD-08-014,FAC-001,STY-025,PO-08-014,2650,2025-05-10,2025-05-14,2025-05-17,2025-05-18T08:59:00+00:00,normal,completed,1,validation,synthetic
ORD-08-015,FAC-001,STY-006,PO-08-015,6800,2025-05-19,2025-05-26,2025-05-26,2025-05-28T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-08-016,FAC-001,STY-012,PO-08-016,4700,2025-05-29,2025-06-09,2025-06-11,2025-06-12T17:59:00+00:00,normal,completed,1,validation,synthetic
ORD-08-017,FAC-001,STY-018,PO-08-017,9000,2025-06-14,2025-06-21,2025-06-21,2025-06-22T17:59:00+00:00,high,completed,1,test,synthetic
ORD-08-018,FAC-001,STY-016,PO-08-018,6200,2025-06-23,2025-07-01,2025-07-02,,normal,in_progress,,test,synthetic
