production_id,factory_id,allocation_id,work_date,hour_start,shift_code,line_id,order_id,style_id,hourly_target,actual_output,cumulative_order_output,wip_qty,planned_workers,present_workers,downtime_minutes,inspected_qty,defect_count,material_status,hourly_efficiency,data_split,dataset_provenance
PROD-000026,FAC-001,ALLOC-01-001,2025-01-06,13:00,DAY,LINE-01,ORD-01-001,STY-007,114,96,2192,128,49,48,0,44,1,available,0.8421,train,synthetic
PROD-000027,FAC-001,ALLOC-01-001,2025-01-06,14:00,DAY,LINE-01,ORD-01-001,STY-007,114,125,2317,122,49,48,0,73,6,available,1.0965,train,synthetic
PROD-000028,FAC-001,ALLOC-01-001,2025-01-06,15:00,DAY,LINE-01,ORD-01-001,STY-007,114,120,2437,75,49,48,0,47,0,available,1.0526,train,synthetic
PROD-000029,FAC-001,ALLOC-01-001,2025-01-06,16:00,DAY,LINE-01,ORD-01-001,STY-007,114,115,2552,82,49,48,0,48,2,available,1.0088,train,synthetic
PROD-000030,FAC-001,ALLOC-01-001,2025-01-06,17:00,DAY,LINE-01,ORD-01-001,STY-007,114,118,2670,115,49,48,0,64,1,available,1.0351,train,synthetic
PROD-000031,FAC-001,ALLOC-01-001,2025-01-07,08:00,DAY,LINE-01,ORD-01-001,STY-007,114,94,2764,112,49,46,0,56,0,available,0.8246,train,synthetic
PROD-000032,FAC-001,ALLOC-01-001,2025-01-07,09:00,DAY,LINE-01,ORD-01-001,STY-007,114,112,2876,96,49,46,0,60,2,available,0.9825,train,synthetic
PROD-000033,FAC-001,ALLOC-01-001,2025-01-07,10:00,DAY,LINE-01,ORD-01-001,STY-007,114,122,2998,154,49,46,0,63,1,available,1.0702,train,synthetic
PROD-000034,FAC-001,ALLOC-01-001,2025-01-07,11:00,DAY,LINE-01,ORD-01-001,STY-007,114,119,3117,176,49,46,0,60,2,available,1.0439,train,synthetic
PROD-000035,FAC-001,ALLOC-01-001,2025-01-07,12:00,DAY,LINE-01,ORD-01-001,STY-007,114,103,3220,127,49,46,0,60,0,available,0.9035,train,synthetic
PROD-000036,FAC-001,ALLOC-01-001,2025-01-07,13:00,DAY,LINE-01,ORD-01-001,STY-007,114,89,3309,69,49,46,0,51,1,available,0.7807,train,synthetic
PROD-000037,FAC-001,ALLOC-01-001,2025-01-07,14:00,DAY,LINE-01,ORD-01-001,STY-007,114,124,3433,146,49,46,0,74,0,available,1.0877,train,synthetic
PROD-000038,FAC-001,ALLOC-01-001,2025-01-07,15:00,DAY,LINE-01,ORD-01-001,STY-007,114,119,3552,124,49,46,0,64,2,available,1.0439,train,synthetic
PROD-000039,FAC-001,ALLOC-01-001,2025-01-07,16:00,DAY,LINE-01,ORD-01-001,STY-007,114,112,3664,93,49,46,0,66,2,available,0.9825,train,synthetic
PROD-000040,FAC-001,ALLOC-01-001,2025-01-07,17:00,DAY,LINE-01,ORD-01-001,STY-007,114,101,3765,159,49,46,0,62,1,available,0.886,train,synthetic
PROD-000041,FAC-001,ALLOC-01-001,2025-01-08,08:00,DAY,LINE-01,ORD-01-001,STY-007,84,75,3840,79,46,43,0,42,1,available,0.8929,train,synthetic
PROD-000042,FAC-001,ALLOC-01-001,2025-01-08,09:00,DAY,LINE-01,ORD-01-001,STY-007,84,86,3926,51,46,43,0,41,0,available,1.0238,train,synthetic
PROD-000043,FAC-001,ALLOC-01-001,2025-01-08,10:00,DAY,LINE-01,ORD-01-001,STY-007,84,95,4021,93,46,43,0,59,0,available,1.131,train,synthetic
PROD-000044,FAC-001,ALLOC-01-001,2025-01-08,11:00,DAY,LINE-01,ORD-01-001,STY-007,84,94,4115,88,46,43,0,54,3,available,1.119,train,synthetic
PROD-000045,FAC-001,ALLOC-01-001,2025-01-08,12:00,DAY,LINE-01,ORD-01-001,STY-007,84,77,4192,130,46,43,0,35,1,available,0.9167,train,synthetic
PROD-000046,FAC-001,ALLOC-01-001,2025-01-08,13:00,DAY,LINE-01,ORD-01-001,STY-007,83,77,4269,60,46,43,0,36,3,available,0.9277,train,synthetic
PROD-000047,FAC-001,ALLOC-01-001,2025-01-08,14:00,DAY,LINE-01,ORD-01-001,STY-007,83,92,4361,71,46,43,0,32,1,available,1.1084,train,synthetic
PROD-000048,FAC-001,ALLOC-01-001,2025-01-08,15:00,DAY,LINE-01,ORD-01-001,STY-007,83,85,4446,79,46,43,0,30,0,available,1.0241,train,synthetic
PROD-000049,FAC-001,ALLOC-01-001,2025-01-08,16:00,DAY,LINE-01,ORD-01-001,STY-007,83,74,4520,83,46,43,0,33,2,available,0.8916,train,synthetic
PROD-000050,FAC-001,ALLOC-01-001,2025-01-08,17:00,DAY,LINE-01,ORD-01-001,STY-007,83,80,4600,80,46,43,0,28,0,available,0.9639,train,synthetic
PROD-000051,FAC-001,ALLOC-01-002,2025-01-09,08:00,DAY,LINE-01,ORD-01-002,STY-023,115,14,14,168,46,44,0,8,0,available,0.1217,train,synthetic
PROD-000052,FAC-001,ALLOC-01-002,2025-01-09,09:00,DAY,LINE-01,ORD-01-002,STY-023,115,14,28,112,46,44,0,8,0,available,0.1217,train,synthetic
PROD-000053,FAC-001,ALLOC-01-002,2025-01-09,10:00,DAY,LINE-01,ORD-01-002,STY-023,115,91,119,102,46,44,0,50,2,available,0.7913,train,synthetic
PROD-000054,FAC-001,ALLOC-01-002,2025-01-09,11:00,DAY,LINE-01,ORD-01-002,STY-023,115,98,217,197,46,44,0,40,2,available,0.8522,train,synthetic
PROD-000055,FAC-001,ALLOC-01-002,2025-01-09,12:00,DAY,LINE-01,ORD-01-002,STY-023,115,88,305,147,46,44,0,44,4,available,0.7652,train,synthetic
PROD-000056,FAC-001,ALLOC-01-002,2025-01-09,13:00,DAY,LINE-01,ORD-01-002,STY-023,115,78,383,139,46,44,0,42,4,available,0.6783,train,synthetic
PROD-000057,FAC-001,ALLOC-01-002,2025-01-09,14:00,DAY,LINE-01,ORD-01-002,STY-023,115,104,487,162,46,44,0,63,5,available,0.9043,train,synthetic
PROD-000058,FAC-001,ALLOC-01-002,2025-01-09,15:00,DAY,LINE-01,ORD-01-002,STY-023,115,100,587,102,46,44,0,41,3,available,0.8696,train,synthetic
PROD-000059,FAC-001,ALLOC-01-002,2025-01-09,16:00,DAY,LINE-01,ORD-01-002,STY-023,115,94,681,163,46,44,0,34,2,available,0.8174,train,synthetic
PROD-000060,FAC-001,ALLOC-01-002,2025-01-09,17:00,DAY,LINE-01,ORD-01-002,STY-023,115,88,769,134,46,44,0,50,2,available,0.7652,train,synthetic
PROD-000061,FAC-001,ALLOC-01-002,2025-01-11,08:00,DAY,LINE-01,ORD-01-002,STY-023,115,74,843,143,46,45,0,39,4,minor,0.6435,train,synthetic
PROD-000062,FAC-001,ALLOC-01-002,2025-01-11,09:00,DAY,LINE-01,ORD-01-002,STY-023,115,82,925,135,46,45,0,30,1,minor,0.713,train,synthetic
PROD-000063,FAC-001,ALLOC-01-002,2025-01-11,10:00,DAY,LINE-01,ORD-01-002,STY-023,115,83,1008,153,46,45,0,50,4,minor,0.7217,train,synthetic
PROD-000064,FAC-001,ALLOC-01-002,2025-01-11,11:00,DAY,LINE-01,ORD-01-002,STY-023,115,101,1109,160,46,45,0,50,4,minor,0.8783,train,synthetic
PROD-000065,FAC-001,ALLOC-01-002,2025-01-11,12:00,DAY,LINE-01,ORD-01-002,STY-023,115,88,1197,163,46,45,0,44,5,minor,0.7652,train,synthetic
PROD-000066,FAC-001,ALLOC-01-002,2025-01-11,13:00,DAY,LINE-01,ORD-01-002,STY-023,115,63,1260,175,46,45,0,37,5,minor,0.5478,train,synthetic
PROD-000067,FAC-001,ALLOC-01-002,2025-01-11,14:00,DAY,LINE-01,ORD-01-002,STY-023,115,85,1345,210,46,45,0,37,2,minor,0.7391,train,synthetic
PROD-000068,FAC-001,ALLOC-01-002,2025-01-11,15:00,DAY,LINE-01,ORD-01-002,STY-023,115,91,1436,176,46,45,0,43,2,minor,0.7913,train,synthetic
PROD-000069,FAC-001,ALLOC-01-002,2025-01-11,16:00,DAY,LINE-01,ORD-01-002,STY-023,115,88,1524,159,46,45,0,32,1,minor,0.7652,train,synthetic
PROD-000070,FAC-001,ALLOC-01-002,2025-01-11,17:00,DAY,LINE-01,ORD-01-002,STY-023,115,73,1597,146,46,45,0,44,3,minor,0.6348,train,synthetic
PROD-000071,FAC-001,ALLOC-01-002,2025-01-12,08:00,DAY,LINE-01,ORD-01-002,STY-023,115,97,1694,120,47,41,0,48,3,available,0.8435,train,synthetic
PROD-000072,FAC-001,ALLOC-01-002,2025-01-12,09:00,DAY,LINE-01,ORD-01-002,STY-023,115,105,1799,121,47,41,0,49,1,available,0.913,train,synthetic
PROD-000073,FAC-001,ALLOC-01-002,2025-01-12,10:00,DAY,LINE-01,ORD-01-002,STY-023,115,106,1905,138,47,41,0,61,2,available,0.9217,train,synthetic
PROD-000074,FAC-001,ALLOC-01-002,2025-01-12,11:00,DAY,LINE-01,ORD-01-002,STY-023,115,108,2013,135,47,41,0,60,5,available,0.9391,train,synthetic
PROD-000075,FAC-001,ALLOC-01-002,2025-01-12,12:00,DAY,LINE-01,ORD-01-002,STY-023,115,90,2103,151,47,41,0,53,5,available,0.7826,train,synthetic
PROD-000076,FAC-001,ALLOC-01-002,2025-01-12,13:00,DAY,LINE-01,ORD-01-002,STY-023,115,88,2191,174,47,41,0,32,0,available,0.7652,train,synthetic
PROD-000077,FAC-001,ALLOC-01-002,2025-01-12,14:00,DAY,LINE-01,ORD-01-002,STY-023,115,102,2293,151,47,41,0,42,1,available,0.887,train,synthetic
PROD-000078,FAC-001,ALLOC-01-002,2025-01-12,15:00,DAY,LINE-01,ORD-01-002,STY-023,115,114,2407,135,47,41,0,59,1,available,0.9913,train,synthetic
PROD-000079,FAC-001,ALLOC-01-002,2025-01-12,16:00,DAY,LINE-01,ORD-01-002,STY-023,115,101,2508,126,47,41,0,54,1,available,0.8783,train,synthetic
PROD-000080,FAC-001,ALLOC-01-002,2025-01-12,17:00,DAY,LINE-01,ORD-01-002,STY-023,115,99,2607,108,47,41,0,45,1,available,0.8609,train,synthetic
PROD-000081,FAC-001,ALLOC-01-002,2025-01-13,08:00,DAY,LINE-01,ORD-01-002,STY-023,115,80,2687,144,50,47,0,42,1,minor,0.6957,train,synthetic
PROD-000082,FAC-001,ALLOC-01-002,2025-01-13,09:00,DAY,LINE-01,ORD-01-002,STY-023,115,94,2781,141,50,47,0,49,10,minor,0.8174,train,synthetic
PROD-000083,FAC-001,ALLOC-01-002,2025-01-13,10:00,DAY,LINE-01,ORD-01-002,STY-023,115,94,2875,178,50,47,0,51,3,minor,0.8174,train,synthetic
PROD-000084,FAC-001,ALLOC-01-002,2025-01-13,11:00,DAY,LINE-01,ORD-01-002,STY-023,115,111,2986,119,50,47,0,47,5,minor,0.9652,train,synthetic
PROD-000085,FAC-001,ALLOC-01-002,2025-01-13,12:00,DAY,LINE-01,ORD-01-002,STY-023,115,84,3070,192,50,47,0,32,3,minor,0.7304,train,synthetic
PROD-000086,FAC-001,ALLOC-01-002,2025-01-13,13:00,DAY,LINE-01,ORD-01-002,STY-023,115,79,3149,162,50,47,0,45,6,minor,0.687,train,synthetic
PROD-000087,FAC-001,ALLOC-01-002,2025-01-13,14:00,DAY,LINE-01,ORD-01-002,STY-023,115,99,3248,135,50,47,0,44,5,minor,0.8609,train,synthetic
PROD-000088,FAC-001,ALLOC-01-002,2025-01-13,15:00,DAY,LINE-01,ORD-01-002,STY-023,115,94,3342,122,50,47,0,49,5,minor,0.8174,train,synthetic
PROD-000089,FAC-001,ALLOC-01-002,2025-01-13,16:00,DAY,LINE-01,ORD-01-002,STY-023,115,103,3445,167,50,47,0,59,3,minor,0.8957,train,synthetic
PROD-000090,FAC-001,ALLOC-01-002,2025-01-13,17:00,DAY,LINE-01,ORD-01-002,STY-023,115,81,3526,177,50,47,0,36,1,minor,0.7043,train,synthetic
PROD-000091,FAC-001,ALLOC-01-002,2025-01-14,08:00,DAY,LINE-01,ORD-01-002,STY-023,53,50,3576,51,49,48,0,22,0,available,0.9434,train,synthetic
PROD-000092,FAC-001,ALLOC-01-002,2025-01-14,09:00,DAY,LINE-01,ORD-01-002,STY-023,53,60,3636,64,49,48,0,32,0,available,1.1321,train,synthetic
PROD-000093,FAC-001,ALLOC-01-002,2025-01-14,10:00,DAY,LINE-01,ORD-01-002,STY-023,53,58,3694,57,49,48,0,35,0,available,1.0943,train,synthetic
PROD-000094,FAC-001,ALLOC-01-002,2025-01-14,11:00,DAY,LINE-01,ORD-01-002,STY-023,53,55,3749,45,49,48,0,22,0,available,1.0377,train,synthetic
PROD-000095,FAC-001,ALLOC-01-002,2025-01-14,12:00,DAY,LINE-01,ORD-01-002,STY-023,52,49,3798,64,49,48,0,28,0,available,0.9423,train,synthetic
PROD-000096,FAC-001,ALLOC-01-002,2025-01-14,13:00,DAY,LINE-01,ORD-01-002,STY-023,52,47,3845,60,49,48,0,29,2,available,0.9038,train,synthetic
PROD-000097,FAC-001,ALLOC-01-002,2025-01-14,14:00,DAY,LINE-01,ORD-01-002,STY-023,52,53,3898,66,49,48,0,22,2,available,1.0192,train,synthetic
PROD-000098,FAC-001,ALLOC-01-002,2025-01-14,15:00,DAY,LINE-01,ORD-01-002,STY-023,52,55,3953,41,49,48,0,29,0,available,1.0577,train,synthetic
PROD-000099,FAC-001,ALLOC-01-002,2025-01-14,16:00,DAY,LINE-01,ORD-01-002,STY-023,52,54,4007,63,49,48,0,29,2,available,1.0385,train,synthetic
PROD-000100,FAC-001,ALLOC-01-002,2025-01-14,17:00,DAY,LINE-01,ORD-01-002,STY-023,52,43,4050,66,49,48,0,18,2,available,0.8269,train,synthetic
PROD-000101,FAC-001,ALLOC-01-003,2025-01-15,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,11,11,166,48,47,0,5,0,critical,0.0894,train,synthetic
PROD-000102,FAC-001,ALLOC-01-003,2025-01-15,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,5,16,204,48,47,55,3,0,critical,0.0407,train,synthetic
PROD-000103,FAC-001,ALLOC-01-003,2025-01-15,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,68,84,143,48,47,0,40,3,critical,0.5528,train,synthetic
PROD-000104,FAC-001,ALLOC-01-003,2025-01-15,11:00,DAY,LINE-01,ORD-01-003,STY-019,123,59,143,146,48,47,0,27,2,critical,0.4797,train,synthetic
PROD-000105,FAC-001,ALLOC-01-003,2025-01-15,12:00,DAY,LINE-01,ORD-01-003,STY-019,123,60,203,195,48,47,0,35,1,critical,0.4878,train,synthetic
PROD-000106,FAC-001,ALLOC-01-003,2025-01-15,13:00,DAY,LINE-01,ORD-01-003,STY-019,123,52,255,155,48,47,0,20,0,critical,0.4228,train,synthetic
PROD-000107,FAC-001,ALLOC-01-003,2025-01-15,14:00,DAY,LINE-01,ORD-01-003,STY-019,123,57,312,84,48,47,0,26,0,critical,0.4634,train,synthetic
PROD-000108,FAC-001,ALLOC-01-003,2025-01-15,15:00,DAY,LINE-01,ORD-01-003,STY-019,123,60,372,147,48,47,0,30,1,critical,0.4878,train,synthetic
PROD-000109,FAC-001,ALLOC-01-003,2025-01-15,16:00,DAY,LINE-01,ORD-01-003,STY-019,123,60,432,180,48,47,0,32,0,critical,0.4878,train,synthetic
PROD-000110,FAC-001,ALLOC-01-003,2025-01-15,17:00,DAY,LINE-01,ORD-01-003,STY-019,123,58,490,76,48,47,0,28,0,critical,0.4715,train,synthetic
PROD-000111,FAC-001,ALLOC-01-003,2025-01-16,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,96,586,217,49,47,0,40,2,available,0.7805,train,synthetic
PROD-000112,FAC-001,ALLOC-01-003,2025-01-16,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,109,695,145,49,47,0,53,2,available,0.8862,train,synthetic
PROD-000113,FAC-001,ALLOC-01-003,2025-01-16,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,105,800,118,49,47,0,53,2,available,0.8537,train,synthetic
PROD-000114,FAC-001,ALLOC-01-003,2025-01-16,11:00,DAY,LINE-01,ORD-01-003,STY-019,123,117,917,178,49,47,0,65,2,available,0.9512,train,synthetic
PROD-000115,FAC-001,ALLOC-01-003,2025-01-16,12:00,DAY,LINE-01,ORD-01-003,STY-019,123,112,1029,211,49,47,0,69,2,available,0.9106,train,synthetic
PROD-000116,FAC-001,ALLOC-01-003,2025-01-16,13:00,DAY,LINE-01,ORD-01-003,STY-019,123,91,1120,155,49,47,0,36,2,available,0.7398,train,synthetic
PROD-000117,FAC-001,ALLOC-01-003,2025-01-16,14:00,DAY,LINE-01,ORD-01-003,STY-019,123,111,1231,170,49,47,0,50,1,available,0.9024,train,synthetic
PROD-000118,FAC-001,ALLOC-01-003,2025-01-16,15:00,DAY,LINE-01,ORD-01-003,STY-019,123,125,1356,121,49,47,0,68,3,available,1.0163,train,synthetic
PROD-000119,FAC-001,ALLOC-01-003,2025-01-16,16:00,DAY,LINE-01,ORD-01-003,STY-019,123,117,1473,132,49,47,0,68,2,available,0.9512,train,synthetic
PROD-000120,FAC-001,ALLOC-01-003,2025-01-16,17:00,DAY,LINE-01,ORD-01-003,STY-019,123,110,1583,177,49,47,0,63,0,available,0.8943,train,synthetic
PROD-000121,FAC-001,ALLOC-01-003,2025-01-18,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,113,1696,102,47,45,0,60,2,available,0.9187,train,synthetic
PROD-000122,FAC-001,ALLOC-01-003,2025-01-18,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,117,1813,129,47,45,0,55,2,available,0.9512,train,synthetic
PROD-000123,FAC-001,ALLOC-01-003,2025-01-18,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,130,1943,164,47,45,0,76,2,available,1.0569,train,synthetic
PROD-000124,FAC-001,ALLOC-01-003,2025-01-18,11:00,DAY,LINE-01,ORD-01-003,STY-019,123,127,2070,143,47,45,0,58,0,available,1.0325,train,synthetic
PROD-000125,FAC-001,ALLOC-01-003,2025-01-18,12:00,DAY,LINE-01,ORD-01-003,STY-019,123,114,2184,154,47,45,0,60,0,available,0.9268,train,synthetic
PROD-000126,FAC-001,ALLOC-01-003,2025-01-18,13:00,DAY,LINE-01,ORD-01-003,STY-019,123,109,2293,166,47,45,0,44,0,available,0.8862,train,synthetic
PROD-000127,FAC-001,ALLOC-01-003,2025-01-18,14:00,DAY,LINE-01,ORD-01-003,STY-019,123,118,2411,130,47,45,0,59,4,available,0.9593,train,synthetic
PROD-000128,FAC-001,ALLOC-01-003,2025-01-18,15:00,DAY,LINE-01,ORD-01-003,STY-019,123,126,2537,89,47,45,0,64,1,available,1.0244,train,synthetic
PROD-000129,FAC-001,ALLOC-01-003,2025-01-18,16:00,DAY,LINE-01,ORD-01-003,STY-019,123,125,2662,164,47,45,0,74,2,available,1.0163,train,synthetic
PROD-000130,FAC-001,ALLOC-01-003,2025-01-18,17:00,DAY,LINE-01,ORD-01-003,STY-019,123,123,2785,160,47,45,0,56,2,available,1.0,train,synthetic
PROD-000131,FAC-001,ALLOC-01-003,2025-01-19,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,112,2897,125,50,48,0,41,2,available,0.9106,train,synthetic
PROD-000132,FAC-001,ALLOC-01-003,2025-01-19,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,134,3031,140,50,48,0,65,0,available,1.0894,train,synthetic
PROD-000133,FAC-001,ALLOC-01-003,2025-01-19,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,131,3162,149,50,48,0,79,0,available,1.065,train,synthetic
PROD-000134,FAC-001,ALLOC-01-003,2025-01-19,11:00,DAY,LINE-01,ORD-01-003,STY-019,123,129,3291,134,50,48,0,59,0,available,1.0488,train,synthetic
PROD-000135,FAC-001,ALLOC-01-003,2025-01-19,12:00,DAY,LINE-01,ORD-01-003,STY-019,123,134,3425,116,50,48,0,68,3,available,1.0894,train,synthetic
PROD-000136,FAC-001,ALLOC-01-003,2025-01-19,13:00,DAY,LINE-01,ORD-01-003,STY-019,123,110,3535,143,50,48,0,53,1,available,0.8943,train,synthetic
PROD-000137,FAC-001,ALLOC-01-003,2025-01-19,14:00,DAY,LINE-01,ORD-01-003,STY-019,123,128,3663,154,50,48,0,72,3,available,1.0407,train,synthetic
PROD-000138,FAC-001,ALLOC-01-003,2025-01-19,15:00,DAY,LINE-01,ORD-01-003,STY-019,123,141,3804,152,50,48,0,63,5,available,1.1463,train,synthetic
PROD-000139,FAC-001,ALLOC-01-003,2025-01-19,16:00,DAY,LINE-01,ORD-01-003,STY-019,123,123,3927,107,50,48,0,59,2,available,1.0,train,synthetic
PROD-000140,FAC-001,ALLOC-01-003,2025-01-19,17:00,DAY,LINE-01,ORD-01-003,STY-019,123,123,4050,113,50,48,0,60,1,available,1.0,train,synthetic
PROD-000141,FAC-001,ALLOC-01-003,2025-01-20,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,102,4152,152,46,43,0,51,0,available,0.8293,train,synthetic
PROD-000142,FAC-001,ALLOC-01-003,2025-01-20,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,124,4276,132,46,43,0,58,2,available,1.0081,train,synthetic
PROD-000143,FAC-001,ALLOC-01-003,2025-01-20,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,130,4406,132,46,43,0,57,2,available,1.0569,train,synthetic
PROD-000144,FAC-001,ALLOC-01-003,2025-01-20,11:00,DAY,LINE-01,ORD-01-003,STY-019,123,126,4532,162,46,43,0,46,1,available,1.0244,train,synthetic
PROD-000145,FAC-001,ALLOC-01-003,2025-01-20,12:00,DAY,LINE-01,ORD-01-003,STY-019,123,127,4659,104,46,43,0,74,1,available,1.0325,train,synthetic
PROD-000146,FAC-001,ALLOC-01-003,2025-01-20,13:00,DAY,LINE-01,ORD-01-003,STY-019,123,116,4775,134,46,43,0,63,5,available,0.9431,train,synthetic
PROD-000147,FAC-001,ALLOC-01-003,2025-01-20,14:00,DAY,LINE-01,ORD-01-003,STY-019,123,115,4890,118,46,43,0,60,1,available,0.935,train,synthetic
PROD-000148,FAC-001,ALLOC-01-003,2025-01-20,15:00,DAY,LINE-01,ORD-01-003,STY-019,123,128,5018,185,46,43,0,59,4,available,1.0407,train,synthetic
PROD-000149,FAC-001,ALLOC-01-003,2025-01-20,16:00,DAY,LINE-01,ORD-01-003,STY-019,123,118,5136,121,46,43,0,53,2,available,0.9593,train,synthetic
PROD-000150,FAC-001,ALLOC-01-003,2025-01-20,17:00,DAY,LINE-01,ORD-01-003,STY-019,123,117,5253,144,46,43,0,57,0,available,0.9512,train,synthetic
PROD-000151,FAC-001,ALLOC-01-003,2025-01-21,08:00,DAY,LINE-01,ORD-01-003,STY-019,123,119,5372,175,48,47,0,61,0,available,0.9675,train,synthetic
PROD-000152,FAC-001,ALLOC-01-003,2025-01-21,09:00,DAY,LINE-01,ORD-01-003,STY-019,123,124,5496,165,48,47,0,47,1,available,1.0081,train,synthetic
PROD-000153,FAC-001,ALLOC-01-003,2025-01-21,10:00,DAY,LINE-01,ORD-01-003,STY-019,123,138,5634,158,48,47,0,53,0,available,1.122,train,synthetic
