outcome_id,action_id,factory_id,line_id,measured_at,observation_window,efficiency_before,efficiency_after,observed_efficiency_change,target_met_after,causal_claim_allowed,data_split,dataset_provenance
OUT-000020,ACT-000022,FAC-001,LINE-01,2025-03-08T18:00:00+00:00,next_workday,0.7378,0.9583,0.2204,0,False,train,synthetic
OUT-000021,ACT-000023,FAC-001,LINE-01,2025-03-16T18:00:00+00:00,next_workday,0.7365,0.7643,0.0278,0,False,train,synthetic
OUT-000022,ACT-000024,FAC-001,LINE-01,2025-03-17T18:00:00+00:00,next_workday,0.7643,0.9317,0.1674,0,False,train,synthetic
OUT-000023,ACT-000026,FAC-001,LINE-01,2025-03-22T18:00:00+00:00,next_workday,0.4904,1.0,0.5096,1,False,train,synthetic
OUT-000024,ACT-000027,FAC-001,LINE-01,2025-03-24T18:00:00+00:00,next_workday,0.6832,0.7723,0.0891,0,False,train,synthetic
OUT-000025,ACT-000028,FAC-001,LINE-01,2025-03-25T18:00:00+00:00,next_workday,0.7723,0.947,0.1748,0,False,train,synthetic
OUT-000026,ACT-000029,FAC-001,LINE-01,2025-04-03T18:00:00+00:00,next_workday,0.6917,0.8387,0.147,0,False,train,synthetic
OUT-000027,ACT-000030,FAC-001,LINE-01,2025-04-10T18:00:00+00:00,next_workday,0.641,0.675,0.034,0,False,train,synthetic
OUT-000028,ACT-000031,FAC-001,LINE-01,2025-04-12T18:00:00+00:00,next_workday,0.675,0.77,0.095,0,False,train,synthetic
OUT-000029,ACT-000032,FAC-001,LINE-01,2025-04-19T18:00:00+00:00,next_workday,0.6196,0.8365,0.217,0,False,train,synthetic
OUT-000030,ACT-000033,FAC-001,LINE-01,2025-04-22T18:00:00+00:00,next_workday,0.6235,0.9452,0.3217,0,False,train,synthetic
OUT-000031,ACT-000034,FAC-001,LINE-01,2025-04-23T18:00:00+00:00,next_workday,0.9452,1.0096,0.0643,1,False,train,synthetic
OUT-000032,ACT-000035,FAC-001,LINE-01,2025-04-27T18:00:00+00:00,next_workday,0.6858,0.8514,0.1655,0,False,train,synthetic
OUT-000033,ACT-000036,FAC-001,LINE-01,2025-04-29T18:00:00+00:00,next_workday,0.8892,1.0385,0.1493,1,False,train,synthetic
OUT-000034,ACT-000037,FAC-001,LINE-01,2025-05-05T18:00:00+00:00,next_workday,0.9054,0.8291,-0.0763,0,False,validation,synthetic
OUT-000035,ACT-000038,FAC-001,LINE-01,2025-05-10T18:00:00+00:00,next_workday,0.6845,0.901,0.2165,0,False,validation,synthetic
OUT-000036,ACT-000039,FAC-001,LINE-01,2025-05-18T18:00:00+00:00,next_workday,0.9592,0.9146,-0.0447,0,False,validation,synthetic
OUT-000037,ACT-000040,FAC-001,LINE-01,2025-05-19T18:00:00+00:00,next_workday,0.9146,0.9914,0.0768,0,False,validation,synthetic
OUT-000038,ACT-000042,FAC-001,LINE-01,2025-05-24T18:00:00+00:00,next_workday,0.7448,0.7304,-0.0143,0,False,validation,synthetic
OUT-000039,ACT-000043,FAC-001,LINE-01,2025-05-29T18:00:00+00:00,next_workday,0.9125,1.0,0.0875,1,False,validation,synthetic
OUT-000040,ACT-000044,FAC-001,LINE-01,2025-06-01T18:00:00+00:00,next_workday,0.6967,0.8542,0.1575,0,False,validation,synthetic
OUT-000041,ACT-000045,FAC-001,LINE-01,2025-06-11T18:00:00+00:00,next_workday,0.6088,0.8982,0.2895,0,False,test,synthetic
OUT-000042,ACT-000046,FAC-001,LINE-01,2025-06-14T18:00:00+00:00,next_workday,0.8956,0.9667,0.0711,0,False,test,synthetic
OUT-000043,ACT-000047,FAC-001,LINE-01,2025-06-19T18:00:00+00:00,next_workday,0.9579,1.0211,0.0632,1,False,test,synthetic
OUT-000044,ACT-000048,FAC-001,LINE-01,2025-06-22T18:00:00+00:00,next_workday,0.9193,1.0,0.0807,1,False,test,synthetic
OUT-000045,ACT-000051,FAC-001,LINE-02,2025-01-05T18:00:00+00:00,next_workday,0.7013,0.8157,0.1143,0,False,train,synthetic
OUT-000046,ACT-000052,FAC-001,LINE-02,2025-01-06T18:00:00+00:00,next_workday,0.8157,1.0322,0.2165,1,False,train,synthetic
OUT-000047,ACT-000053,FAC-001,LINE-02,2025-01-11T18:00:00+00:00,next_workday,0.7351,0.9245,0.1894,0,False,train,synthetic
OUT-000048,ACT-000054,FAC-001,LINE-02,2025-01-12T18:00:00+00:00,next_workday,0.9245,0.6989,-0.2255,0,False,train,synthetic
OUT-000049,ACT-000055,FAC-001,LINE-02,2025-01-13T18:00:00+00:00,next_workday,0.6989,0.9479,0.2489,0,False,train,synthetic
OUT-000050,ACT-000056,FAC-001,LINE-02,2025-01-15T18:00:00+00:00,next_workday,0.9117,1.0202,0.1085,1,False,train,synthetic
OUT-000051,ACT-000057,FAC-001,LINE-02,2025-01-21T18:00:00+00:00,next_workday,0.7045,0.8978,0.1933,0,False,train,synthetic
OUT-000052,ACT-000058,FAC-001,LINE-02,2025-01-30T18:00:00+00:00,next_workday,0.6496,0.6074,-0.0422,0,False,train,synthetic
OUT-000053,ACT-000059,FAC-001,LINE-02,2025-02-01T18:00:00+00:00,next_workday,0.6074,0.85,0.2426,0,False,train,synthetic
OUT-000054,ACT-000060,FAC-001,LINE-02,2025-02-03T18:00:00+00:00,next_workday,0.9117,1.0161,0.1043,1,False,train,synthetic
OUT-000055,ACT-000061,FAC-001,LINE-02,2025-02-05T18:00:00+00:00,next_workday,0.92,1.0013,0.0813,1,False,train,synthetic
OUT-000056,ACT-000062,FAC-001,LINE-02,2025-02-11T18:00:00+00:00,next_workday,0.7665,1.0,0.2335,1,False,train,synthetic
OUT-000057,ACT-000063,FAC-001,LINE-02,2025-02-13T18:00:00+00:00,next_workday,0.6874,0.81,0.1226,0,False,train,synthetic
OUT-000058,ACT-000065,FAC-001,LINE-02,2025-02-20T18:00:00+00:00,next_workday,0.9043,1.0,0.0957,1,False,train,synthetic
OUT-000059,ACT-000066,FAC-001,LINE-02,2025-02-23T18:00:00+00:00,next_workday,0.6571,0.8714,0.2143,0,False,train,synthetic
OUT-000060,ACT-000067,FAC-001,LINE-02,2025-02-25T18:00:00+00:00,next_workday,0.8923,1.0396,0.1473,1,False,train,synthetic
OUT-000061,ACT-000068,FAC-001,LINE-02,2025-03-08T18:00:00+00:00,next_workday,0.6748,0.8713,0.1965,0,False,train,synthetic
OUT-000062,ACT-000069,FAC-001,LINE-02,2025-03-17T18:00:00+00:00,next_workday,0.3887,0.8765,0.4878,0,False,train,synthetic
OUT-000063,ACT-000071,FAC-001,LINE-02,2025-03-23T18:00:00+00:00,next_workday,0.821,1.0,0.179,1,False,train,synthetic
OUT-000064,ACT-000072,FAC-001,LINE-02,2025-03-25T18:00:00+00:00,next_workday,0.597,0.9006,0.3036,0,False,train,synthetic
OUT-000065,ACT-000073,FAC-001,LINE-02,2025-03-29T18:00:00+00:00,next_workday,0.8588,0.7715,-0.0873,0,False,train,synthetic
OUT-000066,ACT-000074,FAC-001,LINE-02,2025-03-30T18:00:00+00:00,next_workday,0.7715,1.0,0.2285,1,False,train,synthetic
OUT-000067,ACT-000075,FAC-001,LINE-02,2025-04-01T18:00:00+00:00,next_workday,0.6614,0.8669,0.2055,0,False,train,synthetic
OUT-000068,ACT-000076,FAC-001,LINE-02,2025-04-09T18:00:00+00:00,next_workday,0.9528,0.9228,-0.0299,0,False,train,synthetic
OUT-000069,ACT-000077,FAC-001,LINE-02,2025-04-10T18:00:00+00:00,next_workday,0.9228,0.6008,-0.322,0,False,train,synthetic
OUT-000070,ACT-000078,FAC-001,LINE-02,2025-04-12T18:00:00+00:00,next_workday,0.6008,0.9561,0.3553,0,False,train,synthetic
OUT-000071,ACT-000079,FAC-001,LINE-02,2025-04-15T18:00:00+00:00,next_workday,0.4339,0.8452,0.4113,0,False,train,synthetic
OUT-000072,ACT-000080,FAC-001,LINE-02,2025-04-22T18:00:00+00:00,next_workday,0.6747,0.6791,0.0044,0,False,train,synthetic
OUT-000073,ACT-000081,FAC-001,LINE-02,2025-04-23T18:00:00+00:00,next_workday,0.6791,0.889,0.2099,0,False,train,synthetic
OUT-000074,ACT-000082,FAC-001,LINE-02,2025-04-24T18:00:00+00:00,next_workday,0.889,0.978,0.089,0,False,train,synthetic
OUT-000075,ACT-000084,FAC-001,LINE-02,2025-04-30T18:00:00+00:00,next_workday,0.9099,0.9775,0.0676,0,False,train,synthetic
OUT-000076,ACT-000085,FAC-001,LINE-02,2025-05-04T18:00:00+00:00,next_workday,0.6074,0.8974,0.29,0,False,validation,synthetic
OUT-000077,ACT-000086,FAC-001,LINE-02,2025-05-12T18:00:00+00:00,next_workday,0.6791,0.8861,0.207,0,False,validation,synthetic
OUT-000078,ACT-000087,FAC-001,LINE-02,2025-05-15T18:00:00+00:00,next_workday,0.9061,0.9757,0.0696,0,False,validation,synthetic
OUT-000079,ACT-000088,FAC-001,LINE-02,2025-05-17T18:00:00+00:00,next_workday,0.9757,0.8991,-0.0765,0,False,validation,synthetic
OUT-000080,ACT-000089,FAC-001,LINE-02,2025-05-18T18:00:00+00:00,next_workday,0.8991,0.8659,-0.0333,0,False,validation,synthetic
OUT-000081,ACT-000090,FAC-001,LINE-02,2025-05-20T18:00:00+00:00,next_workday,0.9091,1.0,0.0909,1,False,validation,synthetic
OUT-000082,ACT-000091,FAC-001,LINE-02,2025-05-22T18:00:00+00:00,next_workday,0.707,0.8739,0.167,0,False,validation,synthetic
OUT-000083,ACT-000092,FAC-001,LINE-02,2025-05-29T18:00:00+00:00,next_workday,0.8891,1.0,0.1109,1,False,validation,synthetic
OUT-000084,ACT-000093,FAC-001,LINE-02,2025-06-01T18:00:00+00:00,next_workday,0.6841,0.8819,0.1978,0,False,validation,synthetic
OUT-000085,ACT-000094,FAC-001,LINE-02,2025-06-04T18:00:00+00:00,next_workday,0.808,1.0283,0.2203,1,False,test,synthetic
OUT-000086,ACT-000095,FAC-001,LINE-02,2025-06-08T18:00:00+00:00,next_workday,0.6154,0.8,0.1846,0,False,test,synthetic
OUT-000087,ACT-000096,FAC-001,LINE-02,2025-06-09T18:00:00+00:00,next_workday,0.8,1.0,0.2,1,False,test,synthetic
OUT-000088,ACT-000097,FAC-001,LINE-02,2025-06-11T18:00:00+00:00,next_workday,0.7094,0.8439,0.1345,0,False,test,synthetic
OUT-000089,ACT-000098,FAC-001,LINE-02,2025-06-14T18:00:00+00:00,next_workday,0.5749,0.9702,0.3953,0,False,test,synthetic
OUT-000090,ACT-000102,FAC-001,LINE-03,2025-01-05T18:00:00+00:00,next_workday,0.6569,0.8674,0.2104,0,False,train,synthetic
OUT-000091,ACT-000103,FAC-001,LINE-03,2025-01-07T18:00:00+00:00,next_workday,0.8479,0.9021,0.0542,0,False,train,synthetic
OUT-000092,ACT-000104,FAC-001,LINE-03,2025-01-08T18:00:00+00:00,next_workday,0.9021,1.0146,0.1125,1,False,train,synthetic
OUT-000093,ACT-000105,FAC-001,LINE-03,2025-01-14T18:00:00+00:00,next_workday,0.6839,0.8044,0.1205,0,False,train,synthetic
OUT-000094,ACT-000106,FAC-001,LINE-03,2025-01-15T18:00:00+00:00,next_workday,0.8044,0.8849,0.0805,0,False,train,synthetic
OUT-000095,ACT-000107,FAC-001,LINE-03,2025-01-18T18:00:00+00:00,next_workday,0.8312,0.9955,0.1642,0,False,train,synthetic
OUT-000096,ACT-000108,FAC-001,LINE-03,2025-01-20T18:00:00+00:00,next_workday,0.75,1.0,0.25,1,False,train,synthetic
OUT-000097,ACT-000110,FAC-001,LINE-03,2025-02-02T18:00:00+00:00,next_workday,0.6726,0.9,0.2274,0,False,train,synthetic
OUT-000098,ACT-000111,FAC-001,LINE-03,2025-02-09T18:00:00+00:00,next_workday,0.4761,0.9308,0.4547,0,False,train,synthetic
OUT-000099,ACT-000112,FAC-001,LINE-03,2025-02-10T18:00:00+00:00,next_workday,0.9308,0.9222,-0.0085,0,False,train,synthetic
OUT-000100,ACT-000113,FAC-001,LINE-03,2025-02-12T18:00:00+00:00,next_workday,0.9282,0.8192,-0.109,0,False,train,synthetic
OUT-000101,ACT-000114,FAC-001,LINE-03,2025-02-13T18:00:00+00:00,next_workday,0.8192,0.932,0.1128,0,False,train,synthetic
OUT-000102,ACT-000115,FAC-001,LINE-03,2025-02-15T18:00:00+00:00,next_workday,0.932,1.0,0.068,1,False,train,synthetic
OUT-000103,ACT-000116,FAC-001,LINE-03,2025-02-17T18:00:00+00:00,next_workday,0.7285,0.7958,0.0674,0,False,train,synthetic
OUT-000104,ACT-000117,FAC-001,LINE-03,2025-02-22T18:00:00+00:00,next_workday,0.9156,0.963,0.0473,0,False,train,synthetic
OUT-000105,ACT-000118,FAC-001,LINE-03,2025-02-25T18:00:00+00:00,next_workday,0.6324,0.7575,0.1251,0,False,train,synthetic
OUT-000106,ACT-000119,FAC-001,LINE-03,2025-03-08T18:00:00+00:00,next_workday,0.7071,0.8714,0.1643,0,False,train,synthetic
OUT-000107,ACT-000120,FAC-001,LINE-03,2025-03-10T18:00:00+00:00,next_workday,0.5583,1.0143,0.456,1,False,train,synthetic
OUT-000108,ACT-000121,FAC-001,LINE-03,2025-03-17T18:00:00+00:00,next_workday,0.5883,0.8183,0.23,0,False,train,synthetic
OUT-000109,ACT-000122,FAC-001,LINE-03,2025-03-18T18:00:00+00:00,next_workday,0.8183,0.8587,0.0404,0,False,train,synthetic
OUT-000110,ACT-000123,FAC-001,LINE-03,2025-03-19T18:00:00+00:00,next_workday,0.8587,0.9687,0.11,0,False,train,synthetic
OUT-000111,ACT-000124,FAC-001,LINE-03,2025-03-30T18:00:00+00:00,next_workday,0.6839,0.9151,0.2312,0,False,train,synthetic
OUT-000112,ACT-000125,FAC-001,LINE-03,2025-04-06T18:00:00+00:00,next_workday,0.6333,0.9095,0.2762,0,False,train,synthetic
OUT-000113,ACT-000126,FAC-001,LINE-03,2025-04-08T18:00:00+00:00,next_workday,0.8607,0.7571,-0.1036,0,False,train,synthetic
OUT-000114,ACT-000127,FAC-001,LINE-03,2025-04-12T18:00:00+00:00,next_workday,0.8816,0.9474,0.0657,0,False,train,synthetic
OUT-000115,ACT-000129,FAC-001,LINE-03,2025-04-14T18:00:00+00:00,next_workday,0.5,1.0,0.5,1,False,train,synthetic
OUT-000116,ACT-000130,FAC-001,LINE-03,2025-04-16T18:00:00+00:00,next_workday,0.742,0.8618,0.1198,0,False,train,synthetic
OUT-000117,ACT-000131,FAC-001,LINE-03,2025-04-21T18:00:00+00:00,next_workday,0.6219,0.9434,0.3215,0,False,train,synthetic
OUT-000118,ACT-000132,FAC-001,LINE-03,2025-04-22T18:00:00+00:00,next_workday,0.9434,1.0,0.0566,1,False,train,synthetic
OUT-000119,ACT-000133,FAC-001,LINE-03,2025-04-24T18:00:00+00:00,next_workday,0.706,0.6821,-0.0239,0,False,train,synthetic
OUT-000120,ACT-000134,FAC-001,LINE-03,2025-04-26T18:00:00+00:00,next_workday,0.6821,0.9239,0.2419,0,False,train,synthetic
OUT-000121,ACT-000135,FAC-001,LINE-03,2025-05-08T18:00:00+00:00,next_workday,0.656,0.8821,0.2262,0,False,validation,synthetic
OUT-000122,ACT-000136,FAC-001,LINE-03,2025-05-17T18:00:00+00:00,next_workday,0.8964,1.0012,0.1048,1,False,validation,synthetic
OUT-000123,ACT-000137,FAC-001,LINE-03,2025-05-22T18:00:00+00:00,next_workday,0.613,0.9045,0.2915,0,False,validation,synthetic
OUT-000124,ACT-000138,FAC-001,LINE-03,2025-05-31T18:00:00+00:00,next_workday,0.8556,1.0381,0.1825,1,False,validation,synthetic
OUT-000125,ACT-000139,FAC-001,LINE-03,2025-06-03T18:00:00+00:00,next_workday,0.61,0.8543,0.2443,0,False,test,synthetic
OUT-000126,ACT-000140,FAC-001,LINE-03,2025-06-05T18:00:00+00:00,next_workday,0.8378,0.907,0.0691,0,False,test,synthetic
OUT-000127,ACT-000141,FAC-001,LINE-03,2025-06-07T18:00:00+00:00,next_workday,0.907,0.8987,-0.0083,0,False,test,synthetic
OUT-000128,ACT-000143,FAC-001,LINE-03,2025-06-14T18:00:00+00:00,next_workday,0.6586,1.0,0.3414,1,False,test,synthetic
OUT-000129,ACT-000144,FAC-001,LINE-03,2025-06-16T18:00:00+00:00,next_workday,0.7226,0.7726,0.05,0,False,test,synthetic
OUT-000130,ACT-000145,FAC-001,LINE-03,2025-06-19T18:00:00+00:00,next_workday,0.6774,1.0262,0.3488,1,False,test,synthetic
OUT-000131,ACT-000146,FAC-001,LINE-03,2025-06-25T18:00:00+00:00,next_workday,0.9202,0.8519,-0.0683,0,False,test,synthetic
OUT-000132,ACT-000147,FAC-001,LINE-03,2025-06-26T18:00:00+00:00,next_workday,0.8519,0.9604,0.1085,0,False,test,synthetic
OUT-000133,ACT-000148,FAC-001,LINE-03,2025-06-30T18:00:00+00:00,next_workday,0.553,0.8691,0.3161,0,False,test,synthetic
OUT-000134,ACT-000149,FAC-001,LINE-04,2025-01-05T18:00:00+00:00,next_workday,0.5697,0.8671,0.2974,0,False,train,synthetic
OUT-000135,ACT-000150,FAC-001,LINE-04,2025-01-09T18:00:00+00:00,next_workday,0.9,1.0132,0.1132,1,False,train,synthetic
OUT-000136,ACT-000151,FAC-001,LINE-04,2025-01-13T18:00:00+00:00,next_workday,0.9842,0.9718,-0.0124,0,False,train,synthetic
OUT-000137,ACT-000152,FAC-001,LINE-04,2025-01-14T18:00:00+00:00,next_workday,0.9718,1.0,0.0282,1,False,train,synthetic
OUT-000138,ACT-000153,FAC-001,LINE-04,2025-01-16T18:00:00+00:00,next_workday,0.4798,0.8831,0.4032,0,False,train,synthetic
OUT-000139,ACT-000154,FAC-001,LINE-04,2025-01-23T18:00:00+00:00,next_workday,0.6723,0.6398,-0.0325,0,False,train,synthetic
OUT-000140,ACT-000155,FAC-001,LINE-04,2025-01-25T18:00:00+00:00,next_workday,0.6398,0.9627,0.3229,0,False,train,synthetic
OUT-000141,ACT-000156,FAC-001,LINE-04,2025-01-27T18:00:00+00:00,next_workday,0.8687,1.0,0.1313,1,False,train,synthetic
OUT-000142,ACT-000157,FAC-001,LINE-04,2025-01-29T18:00:00+00:00,next_workday,0.5831,0.9217,0.3386,0,False,train,synthetic
OUT-000143,ACT-000158,FAC-001,LINE-04,2025-02-03T18:00:00+00:00,next_workday,0.912,1.0169,0.1048,1,False,train,synthetic
OUT-000144,ACT-000159,FAC-001,LINE-04,2025-02-06T18:00:00+00:00,next_workday,0.5826,1.0,0.4174,1,False,train,synthetic
OUT-000145,ACT-000160,FAC-001,LINE-04,2025-02-09T18:00:00+00:00,next_workday,0.6803,0.8934,0.2132,0,False,train,synthetic
OUT-000146,ACT-000161,FAC-001,LINE-04,2025-02-10T18:00:00+00:00,next_workday,0.8934,0.9355,0.0421,0,False,train,synthetic
OUT-000147,ACT-000162,FAC-001,LINE-04,2025-02-12T18:00:00+00:00,next_workday,0.9224,0.9039,-0.0184,0,False,train,synthetic
OUT-000148,ACT-000163,FAC-001,LINE-04,2025-02-13T18:00:00+00:00,next_workday,0.9039,0.8724,-0.0316,0,False,train,synthetic
OUT-000149,ACT-000164,FAC-001,LINE-04,2025-02-16T18:00:00+00:00,next_workday,0.9816,1.0618,0.0803,1,False,train,synthetic
OUT-000150,ACT-000165,FAC-001,LINE-04,2025-02-19T18:00:00+00:00,next_workday,0.9677,1.0,0.0323,1,False,train,synthetic
OUT-000151,ACT-000166,FAC-001,LINE-04,2025-02-22T18:00:00+00:00,next_workday,0.5791,0.8881,0.309,0,False,train,synthetic
OUT-000152,ACT-000167,FAC-001,LINE-04,2025-02-24T18:00:00+00:00,next_workday,0.9612,1.0015,0.0403,1,False,train,synthetic
OUT-000153,ACT-000168,FAC-001,LINE-04,2025-03-01T18:00:00+00:00,next_workday,0.8791,1.006,0.1269,1,False,train,synthetic
OUT-000154,ACT-000169,FAC-001,LINE-04,2025-03-04T18:00:00+00:00,next_workday,0.5821,0.7692,0.1872,0,False,train,synthetic
OUT-000155,ACT-000170,FAC-001,LINE-04,2025-03-06T18:00:00+00:00,next_workday,0.9778,1.0077,0.0299,1,False,train,synthetic
OUT-000156,ACT-000171,FAC-001,LINE-04,2025-03-11T18:00:00+00:00,next_workday,0.6337,0.9096,0.2759,0,False,train,synthetic
OUT-000157,ACT-000172,FAC-001,LINE-04,2025-03-16T18:00:00+00:00,next_workday,0.9193,1.0494,0.1301,1,False,train,synthetic
OUT-000158,ACT-000173,FAC-001,LINE-04,2025-03-20T18:00:00+00:00,next_workday,0.6549,0.8746,0.2197,0,False,train,synthetic
OUT-000159,ACT-000174,FAC-001,LINE-04,2025-03-22T18:00:00+00:00,next_workday,0.8746,0.962,0.0873,0,False,train,synthetic
OUT-000160,ACT-000175,FAC-001,LINE-04,2025-03-25T18:00:00+00:00,next_workday,0.9951,1.0,0.0049,1,False,train,synthetic
OUT-000161,ACT-000177,FAC-001,LINE-04,2025-03-29T18:00:00+00:00,next_workday,0.8701,0.9806,0.1104,0,False,train,synthetic
OUT-000162,ACT-000178,FAC-001,LINE-04,2025-03-30T18:00:00+00:00,next_workday,0.9806,0.997,0.0164,0,False,train,synthetic
OUT-000163,ACT-000179,FAC-001,LINE-04,2025-03-31T18:00:00+00:00,next_workday,0.997,1.0388,0.0418,1,False,train,synthetic
OUT-000164,ACT-000180,FAC-001,LINE-04,2025-04-02T18:00:00+00:00,next_workday,0.9119,0.9902,0.0783,0,False,train,synthetic
OUT-000165,ACT-000182,FAC-001,LINE-04,2025-04-07T18:00:00+00:00,next_workday,0.906,0.9217,0.0157,0,False,train,synthetic
OUT-000166,ACT-000183,FAC-001,LINE-04,2025-04-15T18:00:00+00:00,next_workday,0.6846,0.8865,0.2019,0,False,train,synthetic
OUT-000167,ACT-000184,FAC-001,LINE-04,2025-04-16T18:00:00+00:00,next_workday,0.8865,0.9904,0.1038,0,False,train,synthetic
OUT-000168,ACT-000185,FAC-001,LINE-04,2025-04-20T18:00:00+00:00,next_workday,0.5942,0.9846,0.3904,0,False,train,synthetic
OUT-000169,ACT-000186,FAC-001,LINE-04,2025-04-22T18:00:00+00:00,next_workday,0.96,1.0,0.04,1,False,train,synthetic
OUT-000170,ACT-000187,FAC-001,LINE-04,2025-04-24T18:00:00+00:00,next_workday,0.6419,0.8932,0.2513,0,False,train,synthetic
OUT-000171,ACT-000188,FAC-001,LINE-04,2025-04-29T18:00:00+00:00,next_workday,0.8598,1.0094,0.1496,1,False,train,synthetic
OUT-000172,ACT-000189,FAC-001,LINE-04,2025-05-04T18:00:00+00:00,next_workday,0.9228,1.0,0.0772,1,False,validation,synthetic
OUT-000173,ACT-000190,FAC-001,LINE-04,2025-05-06T18:00:00+00:00,next_workday,0.6288,0.7712,0.1425,0,False,validation,synthetic
OUT-000174,ACT-000191,FAC-001,LINE-04,2025-05-07T18:00:00+00:00,next_workday,0.7712,0.9788,0.2075,0,False,validation,synthetic
OUT-000175,ACT-000192,FAC-001,LINE-04,2025-05-08T18:00:00+00:00,next_workday,0.9788,0.9925,0.0138,0,False,validation,synthetic
OUT-000176,ACT-000193,FAC-001,LINE-04,2025-05-13T18:00:00+00:00,next_workday,0.9658,1.0,0.0342,1,False,validation,synthetic
OUT-000177,ACT-000194,FAC-001,LINE-04,2025-05-15T18:00:00+00:00,next_workday,0.686,0.782,0.096,0,False,validation,synthetic
OUT-000178,ACT-000195,FAC-001,LINE-04,2025-05-17T18:00:00+00:00,next_workday,0.782,0.913,0.131,0,False,validation,synthetic
OUT-000179,ACT-000197,FAC-001,LINE-04,2025-06-03T18:00:00+00:00,next_workday,0.7488,0.8975,0.1487,0,False,test,synthetic
OUT-000180,ACT-000198,FAC-001,LINE-04,2025-06-04T18:00:00+00:00,next_workday,0.8975,0.9637,0.0663,0,False,test,synthetic
OUT-000181,ACT-000199,FAC-001,LINE-04,2025-06-09T18:00:00+00:00,next_workday,0.9888,0.8725,-0.1162,0,False,test,synthetic
OUT-000182,ACT-000200,FAC-001,LINE-04,2025-06-10T18:00:00+00:00,next_workday,0.8725,1.0325,0.16,1,False,test,synthetic
OUT-000183,ACT-000202,FAC-001,LINE-04,2025-06-16T18:00:00+00:00,next_workday,0.8278,0.8013,-0.0266,0,False,test,synthetic
OUT-000184,ACT-000204,FAC-001,LINE-04,2025-06-21T18:00:00+00:00,next_workday,0.7696,0.938,0.1684,0,False,test,synthetic
OUT-000185,ACT-000207,FAC-001,LINE-04,2025-06-29T18:00:00+00:00,next_workday,0.8009,0.8744,0.0735,0,False,test,synthetic
OUT-000186,ACT-000210,FAC-001,LINE-05,2025-01-05T18:00:00+00:00,next_workday,0.6379,0.8319,0.194,0,False,train,synthetic
OUT-000187,ACT-000211,FAC-001,LINE-05,2025-01-06T18:00:00+00:00,next_workday,0.8319,0.6603,-0.1716,0,False,train,synthetic
