downtime_id,factory_id,line_id,order_id,work_date,machine_type,started_at,duration_minutes,reason_code,resolved,data_split,dataset_provenance
DOWN-000022,FAC-001,LINE-01,ORD-01-010,2025-04-03,button_hole,2025-04-03T12:09:00+00:00,24,power_interruption,True,train,synthetic
DOWN-000023,FAC-001,LINE-01,ORD-01-010,2025-04-05,button_attach,2025-04-05T16:11:00+00:00,11,motor_issue,True,train,synthetic
DOWN-000024,FAC-001,LINE-01,ORD-01-010,2025-04-06,button_attach,2025-04-06T15:03:00+00:00,20,power_interruption,True,train,synthetic
DOWN-000025,FAC-001,LINE-01,ORD-01-011,2025-04-12,cutting_machine,2025-04-12T12:02:00+00:00,13,preventive_maintenance,True,train,synthetic
DOWN-000026,FAC-001,LINE-01,ORD-01-011,2025-04-12,bartack,2025-04-12T13:06:00+00:00,17,timing_adjustment,True,train,synthetic
DOWN-000027,FAC-001,LINE-01,ORD-01-011,2025-04-15,bartack,2025-04-15T16:27:00+00:00,67,thread_break,True,train,synthetic
DOWN-000028,FAC-001,LINE-01,ORD-01-012,2025-04-17,single_needle,2025-04-17T16:14:00+00:00,15,preventive_maintenance,True,train,synthetic
DOWN-000029,FAC-001,LINE-01,ORD-01-012,2025-04-17,iron,2025-04-17T11:17:00+00:00,84,power_interruption,True,train,synthetic
DOWN-000030,FAC-001,LINE-01,ORD-01-012,2025-04-19,button_attach,2025-04-19T13:22:00+00:00,16,timing_adjustment,True,train,synthetic
DOWN-000031,FAC-001,LINE-01,ORD-01-012,2025-04-20,overlock,2025-04-20T16:11:00+00:00,32,timing_adjustment,True,train,synthetic
DOWN-000032,FAC-001,LINE-01,ORD-01-012,2025-04-22,button_attach,2025-04-22T08:11:00+00:00,35,preventive_maintenance,True,train,synthetic
DOWN-000033,FAC-001,LINE-01,ORD-01-012,2025-04-23,overlock,2025-04-23T10:16:00+00:00,18,needle_damage,True,train,synthetic
DOWN-000034,FAC-001,LINE-01,ORD-01-013,2025-04-27,single_needle,2025-04-27T16:27:00+00:00,17,motor_issue,True,train,synthetic
DOWN-000035,FAC-001,LINE-01,ORD-01-013,2025-04-30,button_attach,2025-04-30T15:08:00+00:00,14,motor_issue,True,train,synthetic
DOWN-000036,FAC-001,LINE-01,ORD-01-013,2025-05-03,button_hole,2025-05-03T09:16:00+00:00,34,power_interruption,True,validation,synthetic
DOWN-000037,FAC-001,LINE-01,ORD-01-013,2025-05-05,button_hole,2025-05-05T15:29:00+00:00,31,preventive_maintenance,True,validation,synthetic
DOWN-000038,FAC-001,LINE-01,ORD-01-013,2025-05-06,button_hole,2025-05-06T14:03:00+00:00,21,power_interruption,True,validation,synthetic
DOWN-000039,FAC-001,LINE-01,ORD-01-014,2025-05-10,cutting_machine,2025-05-10T10:24:00+00:00,8,preventive_maintenance,True,validation,synthetic
DOWN-000040,FAC-001,LINE-01,ORD-01-014,2025-05-15,bartack,2025-05-15T15:10:00+00:00,27,power_interruption,True,validation,synthetic
DOWN-000041,FAC-001,LINE-01,ORD-01-014,2025-05-15,bartack,2025-05-15T13:06:00+00:00,22,preventive_maintenance,True,validation,synthetic
DOWN-000042,FAC-001,LINE-01,ORD-01-014,2025-05-18,flatlock,2025-05-18T10:03:00+00:00,78,timing_adjustment,True,validation,synthetic
DOWN-000043,FAC-001,LINE-01,ORD-01-014,2025-05-20,single_needle,2025-05-20T12:23:00+00:00,95,preventive_maintenance,True,validation,synthetic
DOWN-000044,FAC-001,LINE-01,ORD-01-015,2025-05-25,overlock,2025-05-25T14:10:00+00:00,33,needle_damage,True,validation,synthetic
DOWN-000045,FAC-001,LINE-01,ORD-01-015,2025-05-27,iron,2025-05-27T08:03:00+00:00,8,preventive_maintenance,True,validation,synthetic
DOWN-000046,FAC-001,LINE-01,ORD-01-015,2025-05-29,bartack,2025-05-29T16:13:00+00:00,8,thread_break,True,validation,synthetic
DOWN-000047,FAC-001,LINE-01,ORD-01-016,2025-06-01,bartack,2025-06-01T10:18:00+00:00,18,power_interruption,False,test,synthetic
DOWN-000048,FAC-001,LINE-01,ORD-01-016,2025-06-02,bartack,2025-06-02T11:16:00+00:00,12,thread_break,True,test,synthetic
DOWN-000049,FAC-001,LINE-01,ORD-01-016,2025-06-02,cutting_machine,2025-06-02T09:17:00+00:00,16,needle_damage,True,test,synthetic
DOWN-000050,FAC-001,LINE-01,ORD-01-016,2025-06-03,bartack,2025-06-03T12:06:00+00:00,16,preventive_maintenance,True,test,synthetic
DOWN-000051,FAC-001,LINE-01,ORD-01-016,2025-06-08,iron,2025-06-08T09:09:00+00:00,32,timing_adjustment,False,test,synthetic
DOWN-000052,FAC-001,LINE-01,ORD-01-017,2025-06-10,iron,2025-06-10T12:03:00+00:00,32,needle_damage,True,test,synthetic
DOWN-000053,FAC-001,LINE-01,ORD-01-017,2025-06-14,button_hole,2025-06-14T10:01:00+00:00,16,timing_adjustment,True,test,synthetic
DOWN-000054,FAC-001,LINE-01,ORD-01-017,2025-06-16,iron,2025-06-16T16:27:00+00:00,30,motor_issue,True,test,synthetic
DOWN-000055,FAC-001,LINE-01,ORD-01-017,2025-06-18,cutting_machine,2025-06-18T09:15:00+00:00,29,preventive_maintenance,True,test,synthetic
DOWN-000056,FAC-001,LINE-01,ORD-01-017,2025-06-18,flatlock,2025-06-18T11:00:00+00:00,21,power_interruption,True,test,synthetic
DOWN-000057,FAC-001,LINE-01,ORD-01-017,2025-06-21,overlock,2025-06-21T12:12:00+00:00,40,motor_issue,True,test,synthetic
DOWN-000058,FAC-001,LINE-01,ORD-01-018,2025-06-23,button_attach,2025-06-23T11:04:00+00:00,10,thread_break,True,test,synthetic
DOWN-000059,FAC-001,LINE-01,ORD-01-018,2025-06-28,overlock,2025-06-28T16:09:00+00:00,38,preventive_maintenance,True,test,synthetic
DOWN-000060,FAC-001,LINE-02,ORD-02-001,2025-01-05,flatlock,2025-01-05T08:24:00+00:00,43,preventive_maintenance,True,train,synthetic
DOWN-000061,FAC-001,LINE-02,ORD-02-002,2025-01-14,overlock,2025-01-14T12:21:00+00:00,27,needle_damage,True,train,synthetic
DOWN-000062,FAC-001,LINE-02,ORD-02-002,2025-01-18,cutting_machine,2025-01-18T12:04:00+00:00,25,timing_adjustment,True,train,synthetic
DOWN-000063,FAC-001,LINE-02,ORD-02-003,2025-01-21,bartack,2025-01-21T16:20:00+00:00,17,preventive_maintenance,True,train,synthetic
DOWN-000064,FAC-001,LINE-02,ORD-02-003,2025-01-23,single_needle,2025-01-23T15:17:00+00:00,29,power_interruption,True,train,synthetic
DOWN-000065,FAC-001,LINE-02,ORD-02-004,2025-02-09,iron,2025-02-09T15:21:00+00:00,26,needle_damage,True,train,synthetic
DOWN-000066,FAC-001,LINE-02,ORD-02-004,2025-02-10,button_hole,2025-02-10T13:26:00+00:00,39,preventive_maintenance,True,train,synthetic
DOWN-000067,FAC-001,LINE-02,ORD-02-004,2025-02-10,iron,2025-02-10T15:12:00+00:00,63,timing_adjustment,True,train,synthetic
DOWN-000068,FAC-001,LINE-02,ORD-02-005,2025-02-12,button_attach,2025-02-12T09:00:00+00:00,17,timing_adjustment,True,train,synthetic
DOWN-000069,FAC-001,LINE-02,ORD-02-005,2025-02-13,single_needle,2025-02-13T10:04:00+00:00,36,needle_damage,True,train,synthetic
DOWN-000070,FAC-001,LINE-02,ORD-02-005,2025-02-18,iron,2025-02-18T16:02:00+00:00,27,needle_damage,True,train,synthetic
DOWN-000071,FAC-001,LINE-02,ORD-02-005,2025-02-19,bartack,2025-02-19T09:03:00+00:00,95,motor_issue,True,train,synthetic
DOWN-000072,FAC-001,LINE-02,ORD-02-006,2025-02-23,iron,2025-02-23T09:15:00+00:00,28,needle_damage,True,train,synthetic
DOWN-000073,FAC-001,LINE-02,ORD-02-006,2025-02-24,flatlock,2025-02-24T10:29:00+00:00,57,preventive_maintenance,False,train,synthetic
DOWN-000074,FAC-001,LINE-02,ORD-02-006,2025-03-05,bartack,2025-03-05T09:13:00+00:00,8,power_interruption,True,train,synthetic
DOWN-000075,FAC-001,LINE-02,ORD-02-007,2025-03-06,flatlock,2025-03-06T09:03:00+00:00,20,thread_break,False,train,synthetic
DOWN-000076,FAC-001,LINE-02,ORD-02-007,2025-03-08,button_hole,2025-03-08T08:10:00+00:00,16,power_interruption,True,train,synthetic
DOWN-000077,FAC-001,LINE-02,ORD-02-007,2025-03-09,single_needle,2025-03-09T11:01:00+00:00,8,preventive_maintenance,True,train,synthetic
DOWN-000078,FAC-001,LINE-02,ORD-02-007,2025-03-11,button_hole,2025-03-11T10:29:00+00:00,26,preventive_maintenance,True,train,synthetic
DOWN-000079,FAC-001,LINE-02,ORD-02-008,2025-03-20,button_attach,2025-03-20T12:10:00+00:00,35,thread_break,True,train,synthetic
DOWN-000080,FAC-001,LINE-02,ORD-02-009,2025-03-24,cutting_machine,2025-03-24T12:19:00+00:00,8,preventive_maintenance,True,train,synthetic
DOWN-000081,FAC-001,LINE-02,ORD-02-009,2025-03-25,single_needle,2025-03-25T15:24:00+00:00,22,timing_adjustment,True,train,synthetic
DOWN-000082,FAC-001,LINE-02,ORD-02-009,2025-03-26,single_needle,2025-03-26T14:27:00+00:00,38,preventive_maintenance,True,train,synthetic
DOWN-000083,FAC-001,LINE-02,ORD-02-009,2025-03-29,button_hole,2025-03-29T14:11:00+00:00,77,power_interruption,True,train,synthetic
DOWN-000084,FAC-001,LINE-02,ORD-02-009,2025-03-29,cutting_machine,2025-03-29T11:15:00+00:00,39,timing_adjustment,True,train,synthetic
DOWN-000085,FAC-001,LINE-02,ORD-02-010,2025-04-01,overlock,2025-04-01T14:05:00+00:00,8,power_interruption,True,train,synthetic
DOWN-000086,FAC-001,LINE-02,ORD-02-011,2025-04-14,button_hole,2025-04-14T14:29:00+00:00,54,needle_damage,True,train,synthetic
DOWN-000087,FAC-001,LINE-02,ORD-02-011,2025-04-15,bartack,2025-04-15T12:03:00+00:00,8,preventive_maintenance,False,train,synthetic
DOWN-000088,FAC-001,LINE-02,ORD-02-012,2025-04-21,overlock,2025-04-21T08:11:00+00:00,95,thread_break,True,train,synthetic
DOWN-000089,FAC-001,LINE-02,ORD-02-012,2025-04-22,bartack,2025-04-22T08:27:00+00:00,29,thread_break,True,train,synthetic
DOWN-000090,FAC-001,LINE-02,ORD-02-012,2025-04-23,iron,2025-04-23T12:13:00+00:00,15,needle_damage,True,train,synthetic
DOWN-000091,FAC-001,LINE-02,ORD-02-012,2025-04-23,overlock,2025-04-23T09:16:00+00:00,26,thread_break,True,train,synthetic
DOWN-000092,FAC-001,LINE-02,ORD-02-012,2025-04-27,flatlock,2025-04-27T16:09:00+00:00,28,timing_adjustment,True,train,synthetic
DOWN-000093,FAC-001,LINE-02,ORD-02-012,2025-04-28,iron,2025-04-28T08:22:00+00:00,9,power_interruption,True,train,synthetic
DOWN-000094,FAC-001,LINE-02,ORD-02-012,2025-04-28,single_needle,2025-04-28T14:11:00+00:00,32,timing_adjustment,True,train,synthetic
DOWN-000095,FAC-001,LINE-02,ORD-02-013,2025-05-03,single_needle,2025-05-03T12:13:00+00:00,29,power_interruption,True,validation,synthetic
DOWN-000096,FAC-001,LINE-02,ORD-02-013,2025-05-03,overlock,2025-05-03T08:14:00+00:00,51,thread_break,True,validation,synthetic
DOWN-000097,FAC-001,LINE-02,ORD-02-013,2025-05-05,button_attach,2025-05-05T14:10:00+00:00,84,preventive_maintenance,True,validation,synthetic
DOWN-000098,FAC-001,LINE-02,ORD-02-014,2025-05-11,overlock,2025-05-11T11:26:00+00:00,32,needle_damage,True,validation,synthetic
DOWN-000099,FAC-001,LINE-02,ORD-02-014,2025-05-13,button_attach,2025-05-13T16:00:00+00:00,31,motor_issue,True,validation,synthetic
DOWN-000100,FAC-001,LINE-02,ORD-02-014,2025-05-15,overlock,2025-05-15T11:07:00+00:00,35,thread_break,True,validation,synthetic
DOWN-000101,FAC-001,LINE-02,ORD-02-014,2025-05-17,cutting_machine,2025-05-17T16:05:00+00:00,9,motor_issue,True,validation,synthetic
DOWN-000102,FAC-001,LINE-02,ORD-02-014,2025-05-19,button_attach,2025-05-19T09:19:00+00:00,28,preventive_maintenance,True,validation,synthetic
DOWN-000103,FAC-001,LINE-02,ORD-02-014,2025-05-19,button_attach,2025-05-19T08:21:00+00:00,8,thread_break,True,validation,synthetic
DOWN-000104,FAC-001,LINE-02,ORD-02-014,2025-05-20,bartack,2025-05-20T10:08:00+00:00,28,power_interruption,True,validation,synthetic
DOWN-000105,FAC-001,LINE-02,ORD-02-015,2025-05-22,button_attach,2025-05-22T16:12:00+00:00,15,preventive_maintenance,True,validation,synthetic
DOWN-000106,FAC-001,LINE-02,ORD-02-015,2025-05-27,flatlock,2025-05-27T12:19:00+00:00,20,power_interruption,False,validation,synthetic
DOWN-000107,FAC-001,LINE-02,ORD-02-015,2025-05-28,bartack,2025-05-28T09:02:00+00:00,80,timing_adjustment,True,validation,synthetic
DOWN-000108,FAC-001,LINE-02,ORD-02-015,2025-05-29,button_hole,2025-05-29T14:28:00+00:00,12,motor_issue,True,validation,synthetic
DOWN-000109,FAC-001,LINE-02,ORD-02-016,2025-06-03,iron,2025-06-03T15:01:00+00:00,8,preventive_maintenance,True,test,synthetic
DOWN-000110,FAC-001,LINE-02,ORD-02-016,2025-06-03,bartack,2025-06-03T10:12:00+00:00,95,timing_adjustment,True,test,synthetic
DOWN-000111,FAC-001,LINE-02,ORD-02-016,2025-06-05,flatlock,2025-06-05T16:20:00+00:00,80,timing_adjustment,True,test,synthetic
DOWN-000112,FAC-001,LINE-02,ORD-02-016,2025-06-07,iron,2025-06-07T13:10:00+00:00,51,power_interruption,True,test,synthetic
DOWN-000113,FAC-001,LINE-02,ORD-02-016,2025-06-08,button_hole,2025-06-08T16:21:00+00:00,37,preventive_maintenance,True,test,synthetic
DOWN-000114,FAC-001,LINE-02,ORD-02-016,2025-06-08,flatlock,2025-06-08T08:23:00+00:00,32,needle_damage,True,test,synthetic
DOWN-000115,FAC-001,LINE-02,ORD-02-016,2025-06-09,bartack,2025-06-09T16:18:00+00:00,95,timing_adjustment,True,test,synthetic
DOWN-000116,FAC-001,LINE-02,ORD-02-017,2025-06-10,flatlock,2025-06-10T15:13:00+00:00,19,preventive_maintenance,True,test,synthetic
DOWN-000117,FAC-001,LINE-02,ORD-02-017,2025-06-14,overlock,2025-06-14T11:21:00+00:00,32,power_interruption,True,test,synthetic
DOWN-000118,FAC-001,LINE-02,ORD-02-017,2025-06-15,single_needle,2025-06-15T16:02:00+00:00,36,timing_adjustment,True,test,synthetic
DOWN-000119,FAC-001,LINE-02,ORD-02-018,2025-06-21,bartack,2025-06-21T16:09:00+00:00,8,preventive_maintenance,True,test,synthetic
DOWN-000120,FAC-001,LINE-02,ORD-02-018,2025-06-22,cutting_machine,2025-06-22T14:29:00+00:00,15,needle_damage,True,test,synthetic
DOWN-000121,FAC-001,LINE-02,ORD-02-018,2025-06-24,button_hole,2025-06-24T13:28:00+00:00,50,thread_break,True,test,synthetic
DOWN-000122,FAC-001,LINE-03,ORD-03-001,2025-01-04,cutting_machine,2025-01-04T14:12:00+00:00,47,preventive_maintenance,True,train,synthetic
DOWN-000123,FAC-001,LINE-03,ORD-03-001,2025-01-12,cutting_machine,2025-01-12T13:16:00+00:00,43,preventive_maintenance,True,train,synthetic
DOWN-000124,FAC-001,LINE-03,ORD-03-002,2025-01-14,flatlock,2025-01-14T09:25:00+00:00,12,preventive_maintenance,True,train,synthetic
DOWN-000125,FAC-001,LINE-03,ORD-03-002,2025-01-14,flatlock,2025-01-14T08:10:00+00:00,37,preventive_maintenance,True,train,synthetic
DOWN-000126,FAC-001,LINE-03,ORD-03-002,2025-01-15,flatlock,2025-01-15T15:12:00+00:00,40,timing_adjustment,True,train,synthetic
DOWN-000127,FAC-001,LINE-03,ORD-03-002,2025-01-16,iron,2025-01-16T12:20:00+00:00,51,thread_break,True,train,synthetic
DOWN-000128,FAC-001,LINE-03,ORD-03-002,2025-01-16,overlock,2025-01-16T11:05:00+00:00,75,preventive_maintenance,True,train,synthetic
DOWN-000129,FAC-001,LINE-03,ORD-03-002,2025-01-19,overlock,2025-01-19T11:24:00+00:00,50,preventive_maintenance,True,train,synthetic
DOWN-000130,FAC-001,LINE-03,ORD-03-003,2025-01-22,bartack,2025-01-22T12:00:00+00:00,12,motor_issue,True,train,synthetic
DOWN-000131,FAC-001,LINE-03,ORD-03-003,2025-01-25,single_needle,2025-01-25T15:00:00+00:00,74,motor_issue,True,train,synthetic
DOWN-000132,FAC-001,LINE-03,ORD-03-003,2025-01-29,iron,2025-01-29T11:19:00+00:00,30,motor_issue,True,train,synthetic
DOWN-000133,FAC-001,LINE-03,ORD-03-004,2025-02-08,iron,2025-02-08T12:19:00+00:00,88,timing_adjustment,True,train,synthetic
DOWN-000134,FAC-001,LINE-03,ORD-03-004,2025-02-09,button_attach,2025-02-09T10:01:00+00:00,47,timing_adjustment,True,train,synthetic
DOWN-000135,FAC-001,LINE-03,ORD-03-004,2025-02-10,single_needle,2025-02-10T16:01:00+00:00,48,power_interruption,True,train,synthetic
DOWN-000136,FAC-001,LINE-03,ORD-03-004,2025-02-11,button_attach,2025-02-11T09:00:00+00:00,63,power_interruption,True,train,synthetic
DOWN-000137,FAC-001,LINE-03,ORD-03-004,2025-02-12,cutting_machine,2025-02-12T11:14:00+00:00,74,motor_issue,True,train,synthetic
DOWN-000138,FAC-001,LINE-03,ORD-03-005,2025-02-17,cutting_machine,2025-02-17T14:14:00+00:00,33,thread_break,True,train,synthetic
DOWN-000139,FAC-001,LINE-03,ORD-03-005,2025-02-17,cutting_machine,2025-02-17T13:12:00+00:00,28,timing_adjustment,True,train,synthetic
DOWN-000140,FAC-001,LINE-03,ORD-03-005,2025-02-17,single_needle,2025-02-17T09:06:00+00:00,8,preventive_maintenance,True,train,synthetic
DOWN-000141,FAC-001,LINE-03,ORD-03-005,2025-02-22,bartack,2025-02-22T11:23:00+00:00,20,needle_damage,True,train,synthetic
DOWN-000142,FAC-001,LINE-03,ORD-03-006,2025-02-24,bartack,2025-02-24T16:13:00+00:00,47,needle_damage,True,train,synthetic
DOWN-000143,FAC-001,LINE-03,ORD-03-006,2025-02-25,bartack,2025-02-25T15:29:00+00:00,40,thread_break,True,train,synthetic
DOWN-000144,FAC-001,LINE-03,ORD-03-007,2025-03-09,single_needle,2025-03-09T15:06:00+00:00,48,timing_adjustment,True,train,synthetic
DOWN-000145,FAC-001,LINE-03,ORD-03-007,2025-03-12,button_hole,2025-03-12T13:22:00+00:00,15,timing_adjustment,True,train,synthetic
DOWN-000146,FAC-001,LINE-03,ORD-03-008,2025-03-17,button_attach,2025-03-17T09:08:00+00:00,95,motor_issue,True,train,synthetic
DOWN-000147,FAC-001,LINE-03,ORD-03-008,2025-03-23,button_attach,2025-03-23T14:25:00+00:00,48,thread_break,True,train,synthetic
DOWN-000148,FAC-001,LINE-03,ORD-03-008,2025-03-26,cutting_machine,2025-03-26T13:24:00+00:00,8,power_interruption,True,train,synthetic
DOWN-000149,FAC-001,LINE-03,ORD-03-010,2025-04-05,flatlock,2025-04-05T12:11:00+00:00,21,thread_break,True,train,synthetic
DOWN-000150,FAC-001,LINE-03,ORD-03-010,2025-04-05,bartack,2025-04-05T14:02:00+00:00,8,needle_damage,True,train,synthetic
DOWN-000151,FAC-001,LINE-03,ORD-03-010,2025-04-07,iron,2025-04-07T10:10:00+00:00,95,preventive_maintenance,True,train,synthetic
DOWN-000152,FAC-001,LINE-03,ORD-03-010,2025-04-08,single_needle,2025-04-08T16:00:00+00:00,32,motor_issue,True,train,synthetic
DOWN-000153,FAC-001,LINE-03,ORD-03-010,2025-04-09,flatlock,2025-04-09T15:29:00+00:00,16,timing_adjustment,True,train,synthetic
DOWN-000154,FAC-001,LINE-03,ORD-03-010,2025-04-13,cutting_machine,2025-04-13T12:21:00+00:00,13,power_interruption,True,train,synthetic
DOWN-000155,FAC-001,LINE-03,ORD-03-010,2025-04-13,button_hole,2025-04-13T12:15:00+00:00,34,timing_adjustment,True,train,synthetic
DOWN-000156,FAC-001,LINE-03,ORD-03-010,2025-04-14,iron,2025-04-14T10:13:00+00:00,59,needle_damage,True,train,synthetic
DOWN-000157,FAC-001,LINE-03,ORD-03-011,2025-04-17,cutting_machine,2025-04-17T14:09:00+00:00,12,motor_issue,True,train,synthetic
DOWN-000158,FAC-001,LINE-03,ORD-03-011,2025-04-20,single_needle,2025-04-20T16:10:00+00:00,24,timing_adjustment,True,train,synthetic
DOWN-000159,FAC-001,LINE-03,ORD-03-011,2025-04-21,overlock,2025-04-21T08:12:00+00:00,49,motor_issue,True,train,synthetic
DOWN-000160,FAC-001,LINE-03,ORD-03-012,2025-04-24,flatlock,2025-04-24T10:26:00+00:00,27,power_interruption,True,train,synthetic
DOWN-000161,FAC-001,LINE-03,ORD-03-012,2025-04-27,single_needle,2025-04-27T13:17:00+00:00,22,preventive_maintenance,True,train,synthetic
DOWN-000162,FAC-001,LINE-03,ORD-03-012,2025-04-30,iron,2025-04-30T09:16:00+00:00,16,thread_break,True,train,synthetic
DOWN-000163,FAC-001,LINE-03,ORD-03-012,2025-05-05,button_hole,2025-05-05T12:09:00+00:00,34,timing_adjustment,True,validation,synthetic
DOWN-000164,FAC-001,LINE-03,ORD-03-013,2025-05-12,cutting_machine,2025-05-12T11:29:00+00:00,31,timing_adjustment,True,validation,synthetic
DOWN-000165,FAC-001,LINE-03,ORD-03-013,2025-05-15,cutting_machine,2025-05-15T09:02:00+00:00,95,motor_issue,True,validation,synthetic
DOWN-000166,FAC-001,LINE-03,ORD-03-013,2025-05-15,cutting_machine,2025-05-15T14:17:00+00:00,8,timing_adjustment,True,validation,synthetic
DOWN-000167,FAC-001,LINE-03,ORD-03-013,2025-05-18,iron,2025-05-18T14:20:00+00:00,53,needle_damage,True,validation,synthetic
DOWN-000168,FAC-001,LINE-03,ORD-03-013,2025-05-18,flatlock,2025-05-18T09:24:00+00:00,30,preventive_maintenance,True,validation,synthetic
DOWN-000169,FAC-001,LINE-03,ORD-03-013,2025-05-19,button_hole,2025-05-19T10:21:00+00:00,24,preventive_maintenance,True,validation,synthetic
DOWN-000170,FAC-001,LINE-03,ORD-03-015,2025-06-03,button_attach,2025-06-03T14:13:00+00:00,18,preventive_maintenance,True,test,synthetic
DOWN-000171,FAC-001,LINE-03,ORD-03-015,2025-06-05,overlock,2025-06-05T11:26:00+00:00,70,power_interruption,True,test,synthetic
DOWN-000172,FAC-001,LINE-03,ORD-03-015,2025-06-07,flatlock,2025-06-07T11:21:00+00:00,42,thread_break,True,test,synthetic
DOWN-000173,FAC-001,LINE-03,ORD-03-015,2025-06-07,overlock,2025-06-07T16:23:00+00:00,8,power_interruption,True,test,synthetic
DOWN-000174,FAC-001,LINE-03,ORD-03-015,2025-06-12,flatlock,2025-06-12T08:14:00+00:00,28,needle_damage,True,test,synthetic
DOWN-000175,FAC-001,LINE-03,ORD-03-015,2025-06-12,button_hole,2025-06-12T12:19:00+00:00,17,power_interruption,True,test,synthetic
DOWN-000176,FAC-001,LINE-03,ORD-03-016,2025-06-18,bartack,2025-06-18T13:08:00+00:00,15,thread_break,True,test,synthetic
DOWN-000177,FAC-001,LINE-03,ORD-03-016,2025-06-18,cutting_machine,2025-06-18T15:01:00+00:00,19,motor_issue,True,test,synthetic
DOWN-000178,FAC-001,LINE-03,ORD-03-016,2025-06-23,flatlock,2025-06-23T15:07:00+00:00,18,timing_adjustment,True,test,synthetic
DOWN-000179,FAC-001,LINE-03,ORD-03-016,2025-06-24,iron,2025-06-24T09:00:00+00:00,8,motor_issue,True,test,synthetic
DOWN-000180,FAC-001,LINE-03,ORD-03-016,2025-06-24,button_hole,2025-06-24T12:09:00+00:00,31,timing_adjustment,True,test,synthetic
DOWN-000181,FAC-001,LINE-03,ORD-03-016,2025-06-25,iron,2025-06-25T10:12:00+00:00,34,thread_break,True,test,synthetic
DOWN-000182,FAC-001,LINE-03,ORD-03-016,2025-06-25,single_needle,2025-06-25T11:08:00+00:00,15,thread_break,True,test,synthetic
DOWN-000183,FAC-001,LINE-03,ORD-03-016,2025-06-25,single_needle,2025-06-25T12:14:00+00:00,74,power_interruption,True,test,synthetic
DOWN-000184,FAC-001,LINE-03,ORD-03-016,2025-06-26,button_attach,2025-06-26T12:19:00+00:00,16,needle_damage,True,test,synthetic
DOWN-000185,FAC-001,LINE-04,ORD-04-001,2025-01-11,overlock,2025-01-11T16:18:00+00:00,49,preventive_maintenance,False,train,synthetic
