quality_defect_id,factory_id,work_date,line_id,order_id,style_id,defect_code,defect_count,inspected_qty,severity,data_split,dataset_provenance
QDEF-000075,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,open_seam,2,606,major,train,synthetic
QDEF-000076,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,oil_mark,4,606,minor,train,synthetic
QDEF-000077,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,uneven_stitch,2,606,minor,train,synthetic
QDEF-000078,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,measurement_variance,3,606,minor,train,synthetic
QDEF-000079,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,shade_variation,2,606,minor,train,synthetic
QDEF-000080,FAC-001,2025-01-18,LINE-01,ORD-01-003,STY-019,skip_stitch,2,606,critical,train,synthetic
QDEF-000081,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,measurement_variance,2,619,minor,train,synthetic
QDEF-000082,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,shade_variation,4,619,minor,train,synthetic
QDEF-000083,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,open_seam,4,619,major,train,synthetic
QDEF-000084,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,puckering,1,619,minor,train,synthetic
QDEF-000085,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,skip_stitch,2,619,minor,train,synthetic
QDEF-000086,FAC-001,2025-01-19,LINE-01,ORD-01-003,STY-019,uneven_stitch,4,619,major,train,synthetic
QDEF-000087,FAC-001,2025-01-20,LINE-01,ORD-01-003,STY-019,measurement_variance,3,578,major,train,synthetic
QDEF-000088,FAC-001,2025-01-20,LINE-01,ORD-01-003,STY-019,uneven_stitch,4,578,minor,train,synthetic
QDEF-000089,FAC-001,2025-01-20,LINE-01,ORD-01-003,STY-019,oil_mark,3,578,minor,train,synthetic
QDEF-000090,FAC-001,2025-01-20,LINE-01,ORD-01-003,STY-019,open_seam,4,578,major,train,synthetic
QDEF-000091,FAC-001,2025-01-20,LINE-01,ORD-01-003,STY-019,puckering,4,578,minor,train,synthetic
QDEF-000092,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,shade_variation,4,606,minor,train,synthetic
QDEF-000093,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,measurement_variance,1,606,minor,train,synthetic
QDEF-000094,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,uneven_stitch,2,606,minor,train,synthetic
QDEF-000095,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,oil_mark,1,606,minor,train,synthetic
QDEF-000096,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,skip_stitch,2,606,minor,train,synthetic
QDEF-000097,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,open_seam,4,606,minor,train,synthetic
QDEF-000098,FAC-001,2025-01-21,LINE-01,ORD-01-003,STY-019,puckering,2,606,major,train,synthetic
QDEF-000099,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,uneven_stitch,3,530,major,train,synthetic
QDEF-000100,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,puckering,5,530,minor,train,synthetic
QDEF-000101,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,skip_stitch,6,530,minor,train,synthetic
QDEF-000102,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,oil_mark,4,530,major,train,synthetic
QDEF-000103,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,measurement_variance,5,530,minor,train,synthetic
QDEF-000104,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,shade_variation,3,530,major,train,synthetic
QDEF-000105,FAC-001,2025-01-22,LINE-01,ORD-01-003,STY-019,open_seam,2,530,major,train,synthetic
QDEF-000106,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,skip_stitch,5,583,major,train,synthetic
QDEF-000107,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,oil_mark,5,583,minor,train,synthetic
QDEF-000108,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,shade_variation,3,583,minor,train,synthetic
QDEF-000109,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,uneven_stitch,2,583,minor,train,synthetic
QDEF-000110,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,open_seam,3,583,minor,train,synthetic
QDEF-000111,FAC-001,2025-01-23,LINE-01,ORD-01-003,STY-019,measurement_variance,3,583,minor,train,synthetic
QDEF-000112,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,uneven_stitch,2,773,minor,train,synthetic
QDEF-000113,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,puckering,2,773,minor,train,synthetic
QDEF-000114,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,open_seam,5,773,minor,train,synthetic
QDEF-000115,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,shade_variation,4,773,minor,train,synthetic
QDEF-000116,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,oil_mark,2,773,minor,train,synthetic
QDEF-000117,FAC-001,2025-01-27,LINE-01,ORD-01-004,STY-033,measurement_variance,1,773,minor,train,synthetic
QDEF-000118,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,open_seam,4,986,minor,train,synthetic
QDEF-000119,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,puckering,4,986,minor,train,synthetic
QDEF-000120,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,skip_stitch,2,986,critical,train,synthetic
QDEF-000121,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,uneven_stitch,3,986,major,train,synthetic
QDEF-000122,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,measurement_variance,3,986,major,train,synthetic
QDEF-000123,FAC-001,2025-01-28,LINE-01,ORD-01-004,STY-033,shade_variation,3,986,minor,train,synthetic
QDEF-000124,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,skip_stitch,2,1081,minor,train,synthetic
QDEF-000125,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,shade_variation,5,1081,minor,train,synthetic
QDEF-000126,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,puckering,2,1081,minor,train,synthetic
QDEF-000127,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,measurement_variance,3,1081,major,train,synthetic
QDEF-000128,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,oil_mark,3,1081,major,train,synthetic
QDEF-000129,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,open_seam,4,1081,minor,train,synthetic
QDEF-000130,FAC-001,2025-01-29,LINE-01,ORD-01-004,STY-033,uneven_stitch,1,1081,minor,train,synthetic
QDEF-000131,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,uneven_stitch,3,1030,major,train,synthetic
QDEF-000132,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,shade_variation,6,1030,minor,train,synthetic
QDEF-000133,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,puckering,3,1030,minor,train,synthetic
QDEF-000134,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,oil_mark,5,1030,minor,train,synthetic
QDEF-000135,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,open_seam,4,1030,major,train,synthetic
QDEF-000136,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,measurement_variance,2,1030,minor,train,synthetic
QDEF-000137,FAC-001,2025-01-30,LINE-01,ORD-01-004,STY-033,skip_stitch,2,1030,minor,train,synthetic
QDEF-000138,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,skip_stitch,4,939,minor,train,synthetic
QDEF-000139,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,measurement_variance,6,939,minor,train,synthetic
QDEF-000140,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,oil_mark,2,939,minor,train,synthetic
QDEF-000141,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,shade_variation,3,939,minor,train,synthetic
QDEF-000142,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,uneven_stitch,2,939,major,train,synthetic
QDEF-000143,FAC-001,2025-02-01,LINE-01,ORD-01-004,STY-033,puckering,2,939,minor,train,synthetic
QDEF-000144,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,shade_variation,2,918,major,train,synthetic
QDEF-000145,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,uneven_stitch,1,918,major,train,synthetic
QDEF-000146,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,oil_mark,2,918,minor,train,synthetic
QDEF-000147,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,open_seam,1,918,minor,train,synthetic
QDEF-000148,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,measurement_variance,4,918,minor,train,synthetic
QDEF-000149,FAC-001,2025-02-02,LINE-01,ORD-01-004,STY-033,puckering,6,918,major,train,synthetic
QDEF-000150,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,uneven_stitch,6,987,major,train,synthetic
QDEF-000151,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,measurement_variance,2,987,minor,train,synthetic
QDEF-000152,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,puckering,2,987,major,train,synthetic
QDEF-000153,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,shade_variation,1,987,major,train,synthetic
QDEF-000154,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,skip_stitch,3,987,minor,train,synthetic
QDEF-000155,FAC-001,2025-02-03,LINE-01,ORD-01-004,STY-033,oil_mark,1,987,major,train,synthetic
QDEF-000156,FAC-001,2025-02-04,LINE-01,ORD-01-004,STY-033,skip_stitch,4,1095,major,train,synthetic
QDEF-000157,FAC-001,2025-02-04,LINE-01,ORD-01-004,STY-033,shade_variation,6,1095,minor,train,synthetic
QDEF-000158,FAC-001,2025-02-04,LINE-01,ORD-01-004,STY-033,open_seam,1,1095,minor,train,synthetic
QDEF-000159,FAC-001,2025-02-04,LINE-01,ORD-01-004,STY-033,puckering,4,1095,minor,train,synthetic
QDEF-000160,FAC-001,2025-02-04,LINE-01,ORD-01-004,STY-033,oil_mark,4,1095,minor,train,synthetic
QDEF-000161,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,puckering,4,1252,major,train,synthetic
QDEF-000162,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,open_seam,4,1252,major,train,synthetic
QDEF-000163,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,shade_variation,7,1252,minor,train,synthetic
QDEF-000164,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,skip_stitch,4,1252,major,train,synthetic
QDEF-000165,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,oil_mark,3,1252,minor,train,synthetic
QDEF-000166,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,uneven_stitch,1,1252,minor,train,synthetic
QDEF-000167,FAC-001,2025-02-05,LINE-01,ORD-01-004,STY-033,measurement_variance,3,1252,critical,train,synthetic
QDEF-000168,FAC-001,2025-02-06,LINE-01,ORD-01-004,STY-033,uneven_stitch,3,437,minor,train,synthetic
QDEF-000169,FAC-001,2025-02-06,LINE-01,ORD-01-004,STY-033,oil_mark,2,437,minor,train,synthetic
QDEF-000170,FAC-001,2025-02-06,LINE-01,ORD-01-004,STY-033,measurement_variance,1,437,minor,train,synthetic
QDEF-000171,FAC-001,2025-02-06,LINE-01,ORD-01-004,STY-033,puckering,2,437,major,train,synthetic
QDEF-000172,FAC-001,2025-02-06,LINE-01,ORD-01-004,STY-033,open_seam,1,437,minor,train,synthetic
QDEF-000173,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,puckering,3,414,minor,train,synthetic
QDEF-000174,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,skip_stitch,2,414,minor,train,synthetic
QDEF-000175,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,oil_mark,4,414,major,train,synthetic
QDEF-000176,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,uneven_stitch,5,414,minor,train,synthetic
QDEF-000177,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,measurement_variance,4,414,minor,train,synthetic
QDEF-000178,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,shade_variation,3,414,minor,train,synthetic
QDEF-000179,FAC-001,2025-02-09,LINE-01,ORD-01-005,STY-023,open_seam,2,414,major,train,synthetic
QDEF-000180,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,uneven_stitch,4,500,minor,train,synthetic
QDEF-000181,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,puckering,2,500,minor,train,synthetic
QDEF-000182,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,oil_mark,3,500,minor,train,synthetic
QDEF-000183,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,skip_stitch,2,500,minor,train,synthetic
QDEF-000184,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,open_seam,2,500,minor,train,synthetic
QDEF-000185,FAC-001,2025-02-10,LINE-01,ORD-01-005,STY-023,shade_variation,2,500,minor,train,synthetic
QDEF-000186,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,uneven_stitch,3,536,minor,train,synthetic
QDEF-000187,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,skip_stitch,5,536,minor,train,synthetic
QDEF-000188,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,open_seam,3,536,minor,train,synthetic
QDEF-000189,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,measurement_variance,4,536,minor,train,synthetic
QDEF-000190,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,shade_variation,2,536,minor,train,synthetic
QDEF-000191,FAC-001,2025-02-11,LINE-01,ORD-01-005,STY-023,puckering,4,536,major,train,synthetic
QDEF-000192,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,skip_stitch,2,539,major,train,synthetic
QDEF-000193,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,open_seam,4,539,minor,train,synthetic
QDEF-000194,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,oil_mark,4,539,major,train,synthetic
QDEF-000195,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,measurement_variance,1,539,minor,train,synthetic
QDEF-000196,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,puckering,1,539,major,train,synthetic
QDEF-000197,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,uneven_stitch,3,539,minor,train,synthetic
QDEF-000198,FAC-001,2025-02-12,LINE-01,ORD-01-005,STY-023,shade_variation,1,539,major,train,synthetic
QDEF-000199,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,measurement_variance,6,355,minor,train,synthetic
QDEF-000200,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,oil_mark,4,355,major,train,synthetic
QDEF-000201,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,shade_variation,2,355,major,train,synthetic
QDEF-000202,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,skip_stitch,6,355,minor,train,synthetic
QDEF-000203,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,open_seam,2,355,minor,train,synthetic
QDEF-000204,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,puckering,4,355,minor,train,synthetic
QDEF-000205,FAC-001,2025-02-13,LINE-01,ORD-01-005,STY-023,uneven_stitch,1,355,major,train,synthetic
QDEF-000206,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,open_seam,5,538,minor,train,synthetic
QDEF-000207,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,measurement_variance,8,538,critical,train,synthetic
QDEF-000208,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,puckering,3,538,minor,train,synthetic
QDEF-000209,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,skip_stitch,4,538,major,train,synthetic
QDEF-000210,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,uneven_stitch,2,538,minor,train,synthetic
QDEF-000211,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,oil_mark,3,538,minor,train,synthetic
QDEF-000212,FAC-001,2025-02-15,LINE-01,ORD-01-005,STY-023,shade_variation,3,538,minor,train,synthetic
QDEF-000213,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,shade_variation,3,487,minor,train,synthetic
QDEF-000214,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,measurement_variance,6,487,minor,train,synthetic
QDEF-000215,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,open_seam,3,487,minor,train,synthetic
QDEF-000216,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,skip_stitch,2,487,minor,train,synthetic
QDEF-000217,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,uneven_stitch,2,487,major,train,synthetic
QDEF-000218,FAC-001,2025-02-16,LINE-01,ORD-01-005,STY-023,puckering,5,487,minor,train,synthetic
QDEF-000219,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,uneven_stitch,6,593,major,train,synthetic
QDEF-000220,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,shade_variation,4,593,minor,train,synthetic
QDEF-000221,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,skip_stitch,2,593,major,train,synthetic
QDEF-000222,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,measurement_variance,3,593,minor,train,synthetic
QDEF-000223,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,oil_mark,2,593,major,train,synthetic
QDEF-000224,FAC-001,2025-02-17,LINE-01,ORD-01-005,STY-023,open_seam,1,593,minor,train,synthetic
QDEF-000225,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,skip_stitch,3,511,major,train,synthetic
QDEF-000226,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,measurement_variance,4,511,minor,train,synthetic
QDEF-000227,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,open_seam,4,511,minor,train,synthetic
QDEF-000228,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,oil_mark,4,511,minor,train,synthetic
QDEF-000229,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,shade_variation,3,511,minor,train,synthetic
QDEF-000230,FAC-001,2025-02-18,LINE-01,ORD-01-005,STY-023,puckering,3,511,minor,train,synthetic
QDEF-000231,FAC-001,2025-02-19,LINE-01,ORD-01-005,STY-023,oil_mark,2,360,minor,train,synthetic
