allocation_id,factory_id,order_id,line_id,starts_on,planned_ends_on,actual_ends_on,target_per_hour,planned_workers,data_split,dataset_provenance
ALLOC-02-011,FAC-001,ORD-02-011,LINE-02,2025-04-14,2025-04-19,2025-04-20,230,52,train,synthetic
ALLOC-02-012,FAC-001,ORD-02-012,LINE-02,2025-04-21,2025-04-29,2025-05-01,91,52,train,synthetic
ALLOC-02-013,FAC-001,ORD-02-013,LINE-02,2025-05-03,2025-05-08,2025-05-10,230,52,validation,synthetic
ALLOC-02-014,FAC-001,ORD-02-014,LINE-02,2025-05-11,2025-05-15,2025-05-20,115,52,validation,synthetic
ALLOC-02-015,FAC-001,ORD-02-015,LINE-02,2025-05-21,2025-05-28,2025-05-29,230,52,validation,synthetic
ALLOC-02-016,FAC-001,ORD-02-016,LINE-02,2025-05-31,2025-06-04,2025-06-09,138,52,validation,synthetic
ALLOC-02-017,FAC-001,ORD-02-017,LINE-02,2025-06-10,2025-06-17,2025-06-18,171,52,test,synthetic
ALLOC-02-018,FAC-001,ORD-02-018,LINE-02,2025-06-19,2025-06-30,2025-06-19,128,52,test,synthetic
ALLOC-03-001,FAC-001,ORD-03-001,LINE-03,2025-01-04,2025-01-08,2025-01-12,144,50,train,synthetic
ALLOC-03-002,FAC-001,ORD-03-002,LINE-03,2025-01-13,2025-01-16,2025-01-20,205,50,train,synthetic
ALLOC-03-003,FAC-001,ORD-03-003,LINE-03,2025-01-21,2025-01-28,2025-01-30,230,50,train,synthetic
ALLOC-03-004,FAC-001,ORD-03-004,LINE-03,2025-02-01,2025-02-11,2025-02-15,117,50,train,synthetic
ALLOC-03-005,FAC-001,ORD-03-005,LINE-03,2025-02-16,2025-02-19,2025-02-23,144,50,train,synthetic
ALLOC-03-006,FAC-001,ORD-03-006,LINE-03,2025-02-24,2025-03-04,2025-03-05,207,50,train,synthetic
ALLOC-03-007,FAC-001,ORD-03-007,LINE-03,2025-03-06,2025-03-12,2025-03-15,84,50,train,synthetic
ALLOC-03-008,FAC-001,ORD-03-008,LINE-03,2025-03-16,2025-03-25,2025-03-27,230,50,train,synthetic
ALLOC-03-009,FAC-001,ORD-03-009,LINE-03,2025-03-29,2025-04-02,2025-04-03,205,50,train,synthetic
ALLOC-03-010,FAC-001,ORD-03-010,LINE-03,2025-04-05,2025-04-09,2025-04-14,84,50,train,synthetic
ALLOC-03-011,FAC-001,ORD-03-011,LINE-03,2025-04-15,2025-04-19,2025-04-22,207,50,train,synthetic
ALLOC-03-012,FAC-001,ORD-03-012,LINE-03,2025-04-23,2025-05-04,2025-05-06,117,50,train,synthetic
ALLOC-03-013,FAC-001,ORD-03-013,LINE-03,2025-05-07,2025-05-18,2025-05-20,84,50,validation,synthetic
ALLOC-03-014,FAC-001,ORD-03-014,LINE-03,2025-05-21,2025-05-31,2025-06-01,223,50,validation,synthetic
ALLOC-03-015,FAC-001,ORD-03-015,LINE-03,2025-06-02,2025-06-11,2025-06-14,230,50,test,synthetic
ALLOC-03-016,FAC-001,ORD-03-016,LINE-03,2025-06-15,2025-06-25,2025-06-28,84,50,test,synthetic
ALLOC-03-017,FAC-001,ORD-03-017,LINE-03,2025-06-29,2025-07-05,2025-06-29,230,50,test,synthetic
ALLOC-04-001,FAC-001,ORD-04-001,LINE-04,2025-01-04,2025-01-12,2025-01-14,76,54,train,synthetic
ALLOC-04-002,FAC-001,ORD-04-002,LINE-04,2025-01-15,2025-01-21,2025-01-21,124,54,train,synthetic
ALLOC-04-003,FAC-001,ORD-04-003,LINE-04,2025-01-22,2025-01-26,2025-01-27,83,54,train,synthetic
ALLOC-04-004,FAC-001,ORD-04-004,LINE-04,2025-01-28,2025-02-04,2025-02-06,83,54,train,synthetic
ALLOC-04-005,FAC-001,ORD-04-005,LINE-04,2025-02-08,2025-02-17,2025-02-19,76,54,train,synthetic
ALLOC-04-006,FAC-001,ORD-04-006,LINE-04,2025-02-20,2025-03-02,2025-03-02,67,54,train,synthetic
ALLOC-04-007,FAC-001,ORD-04-007,LINE-04,2025-03-03,2025-03-06,2025-03-09,117,54,train,synthetic
ALLOC-04-008,FAC-001,ORD-04-008,LINE-04,2025-03-10,2025-03-16,2025-03-18,83,54,train,synthetic
ALLOC-04-009,FAC-001,ORD-04-009,LINE-04,2025-03-19,2025-03-23,2025-03-25,71,54,train,synthetic
ALLOC-04-010,FAC-001,ORD-04-010,LINE-04,2025-03-26,2025-04-01,2025-04-03,67,54,train,synthetic
ALLOC-04-011,FAC-001,ORD-04-011,LINE-04,2025-04-05,2025-04-10,2025-04-13,83,54,train,synthetic
ALLOC-04-012,FAC-001,ORD-04-012,LINE-04,2025-04-14,2025-04-20,2025-04-22,52,54,train,synthetic
ALLOC-04-013,FAC-001,ORD-04-013,LINE-04,2025-04-23,2025-05-03,2025-05-04,117,54,train,synthetic
ALLOC-04-014,FAC-001,ORD-04-014,LINE-04,2025-05-05,2025-05-12,2025-05-13,80,54,validation,synthetic
ALLOC-04-015,FAC-001,ORD-04-015,LINE-04,2025-05-14,2025-05-18,2025-05-21,100,54,validation,synthetic
ALLOC-04-016,FAC-001,ORD-04-016,LINE-04,2025-05-22,2025-06-01,2025-06-01,76,54,validation,synthetic
ALLOC-04-017,FAC-001,ORD-04-017,LINE-04,2025-06-02,2025-06-11,2025-06-12,80,54,test,synthetic
ALLOC-04-018,FAC-001,ORD-04-018,LINE-04,2025-06-14,2025-06-22,2025-06-22,79,54,test,synthetic
ALLOC-04-019,FAC-001,ORD-04-019,LINE-04,2025-06-23,2025-06-30,2025-06-23,117,54,test,synthetic
ALLOC-05-001,FAC-001,ORD-05-001,LINE-05,2025-01-04,2025-01-14,2025-01-16,116,50,train,synthetic
ALLOC-05-002,FAC-001,ORD-05-002,LINE-05,2025-01-18,2025-01-26,2025-01-28,74,50,train,synthetic
ALLOC-05-003,FAC-001,ORD-05-003,LINE-05,2025-01-29,2025-02-04,2025-02-06,94,50,train,synthetic
ALLOC-05-004,FAC-001,ORD-05-004,LINE-05,2025-02-08,2025-02-15,2025-02-17,78,50,train,synthetic
ALLOC-05-005,FAC-001,ORD-05-005,LINE-05,2025-02-18,2025-02-26,2025-02-27,78,50,train,synthetic
ALLOC-05-006,FAC-001,ORD-05-006,LINE-05,2025-03-01,2025-03-08,2025-03-09,63,50,train,synthetic
ALLOC-05-007,FAC-001,ORD-05-007,LINE-05,2025-03-10,2025-03-13,2025-03-17,55,50,train,synthetic
ALLOC-05-008,FAC-001,ORD-05-008,LINE-05,2025-03-18,2025-03-27,2025-03-29,75,50,train,synthetic
ALLOC-05-009,FAC-001,ORD-05-009,LINE-05,2025-03-30,2025-04-05,2025-04-06,75,50,train,synthetic
ALLOC-05-010,FAC-001,ORD-05-010,LINE-05,2025-04-07,2025-04-14,2025-04-16,94,50,train,synthetic
ALLOC-05-011,FAC-001,ORD-05-011,LINE-05,2025-04-17,2025-04-26,2025-04-26,71,50,train,synthetic
ALLOC-05-012,FAC-001,ORD-05-012,LINE-05,2025-04-27,2025-05-03,2025-05-05,55,50,train,synthetic
ALLOC-05-013,FAC-001,ORD-05-013,LINE-05,2025-05-06,2025-05-17,2025-05-20,71,50,validation,synthetic
ALLOC-05-014,FAC-001,ORD-05-014,LINE-05,2025-05-21,2025-05-26,2025-05-29,75,50,validation,synthetic
ALLOC-05-015,FAC-001,ORD-05-015,LINE-05,2025-05-31,2025-06-09,2025-06-12,66,50,validation,synthetic
ALLOC-05-016,FAC-001,ORD-05-016,LINE-05,2025-06-14,2025-06-17,2025-06-18,116,50,test,synthetic
ALLOC-05-017,FAC-001,ORD-05-017,LINE-05,2025-06-19,2025-06-26,2025-06-28,63,50,test,synthetic
ALLOC-05-018,FAC-001,ORD-05-018,LINE-05,2025-06-29,2025-07-03,2025-06-29,110,50,test,synthetic
ALLOC-06-001,FAC-001,ORD-06-001,LINE-06,2025-01-04,2025-01-11,2025-01-12,49,46,train,synthetic
ALLOC-06-002,FAC-001,ORD-06-002,LINE-06,2025-01-13,2025-01-19,2025-01-22,98,46,train,synthetic
ALLOC-06-003,FAC-001,ORD-06-003,LINE-06,2025-01-23,2025-01-29,2025-01-29,84,46,train,synthetic
ALLOC-06-004,FAC-001,ORD-06-004,LINE-06,2025-01-30,2025-02-04,2025-02-05,70,46,train,synthetic
ALLOC-06-005,FAC-001,ORD-06-005,LINE-06,2025-02-06,2025-02-13,2025-02-18,98,46,train,synthetic
ALLOC-06-006,FAC-001,ORD-06-006,LINE-06,2025-02-19,2025-02-26,2025-03-02,98,46,train,synthetic
ALLOC-06-007,FAC-001,ORD-06-007,LINE-06,2025-03-03,2025-03-06,2025-03-08,70,46,train,synthetic
ALLOC-06-008,FAC-001,ORD-06-008,LINE-06,2025-03-09,2025-03-13,2025-03-17,98,46,train,synthetic
ALLOC-06-009,FAC-001,ORD-06-009,LINE-06,2025-03-18,2025-03-23,2025-03-24,67,46,train,synthetic
ALLOC-06-010,FAC-001,ORD-06-010,LINE-06,2025-03-25,2025-04-01,2025-04-03,74,46,train,synthetic
ALLOC-06-011,FAC-001,ORD-06-011,LINE-06,2025-04-05,2025-04-15,2025-04-16,104,46,train,synthetic
ALLOC-06-012,FAC-001,ORD-06-012,LINE-06,2025-04-17,2025-04-28,2025-04-28,59,46,train,synthetic
ALLOC-06-013,FAC-001,ORD-06-013,LINE-06,2025-04-29,2025-05-03,2025-05-05,67,46,train,synthetic
ALLOC-06-014,FAC-001,ORD-06-014,LINE-06,2025-05-06,2025-05-13,2025-05-15,74,46,validation,synthetic
ALLOC-06-015,FAC-001,ORD-06-015,LINE-06,2025-05-17,2025-05-22,2025-05-26,83,46,validation,synthetic
ALLOC-06-016,FAC-001,ORD-06-016,LINE-06,2025-05-27,2025-06-04,2025-06-08,56,46,validation,synthetic
ALLOC-06-017,FAC-001,ORD-06-017,LINE-06,2025-06-09,2025-06-15,2025-06-16,74,46,test,synthetic
ALLOC-06-018,FAC-001,ORD-06-018,LINE-06,2025-06-17,2025-06-24,2025-06-24,70,46,test,synthetic
ALLOC-06-019,FAC-001,ORD-06-019,LINE-06,2025-06-25,2025-07-05,2025-06-25,83,46,test,synthetic
ALLOC-07-001,FAC-001,ORD-07-001,LINE-07,2025-01-04,2025-01-13,2025-01-15,75,56,train,synthetic
ALLOC-07-002,FAC-001,ORD-07-002,LINE-07,2025-01-16,2025-01-27,2025-01-29,116,56,train,synthetic
ALLOC-07-003,FAC-001,ORD-07-003,LINE-07,2025-01-30,2025-02-08,2025-02-11,70,56,train,synthetic
ALLOC-07-004,FAC-001,ORD-07-004,LINE-07,2025-02-12,2025-02-23,2025-02-24,98,56,train,synthetic
ALLOC-07-005,FAC-001,ORD-07-005,LINE-07,2025-02-25,2025-03-05,2025-03-06,116,56,train,synthetic
ALLOC-07-006,FAC-001,ORD-07-006,LINE-07,2025-03-08,2025-03-15,2025-03-17,116,56,train,synthetic
ALLOC-07-007,FAC-001,ORD-07-007,LINE-07,2025-03-18,2025-03-24,2025-03-25,83,56,train,synthetic
ALLOC-07-008,FAC-001,ORD-07-008,LINE-07,2025-03-26,2025-04-02,2025-04-06,79,56,train,synthetic
ALLOC-07-009,FAC-001,ORD-07-009,LINE-07,2025-04-07,2025-04-15,2025-04-19,83,56,train,synthetic
ALLOC-07-010,FAC-001,ORD-07-010,LINE-07,2025-04-20,2025-04-26,2025-04-27,123,56,train,synthetic
ALLOC-07-011,FAC-001,ORD-07-011,LINE-07,2025-04-28,2025-05-04,2025-05-06,116,56,train,synthetic
ALLOC-07-012,FAC-001,ORD-07-012,LINE-07,2025-05-07,2025-05-17,2025-05-18,52,56,validation,synthetic
ALLOC-07-013,FAC-001,ORD-07-013,LINE-07,2025-05-19,2025-05-29,2025-05-29,123,56,validation,synthetic
ALLOC-07-014,FAC-001,ORD-07-014,LINE-07,2025-05-31,2025-06-03,2025-06-04,66,56,validation,synthetic
ALLOC-07-015,FAC-001,ORD-07-015,LINE-07,2025-06-05,2025-06-11,2025-06-14,59,56,test,synthetic
ALLOC-07-016,FAC-001,ORD-07-016,LINE-07,2025-06-15,2025-06-23,2025-06-25,116,56,test,synthetic
ALLOC-07-017,FAC-001,ORD-07-017,LINE-07,2025-06-26,2025-07-06,2025-06-26,79,56,test,synthetic
ALLOC-08-001,FAC-001,ORD-08-001,LINE-08,2025-01-04,2025-01-07,2025-01-08,143,38,train,synthetic
ALLOC-08-002,FAC-001,ORD-08-002,LINE-08,2025-01-09,2025-01-18,2025-01-19,82,38,train,synthetic
ALLOC-08-003,FAC-001,ORD-08-003,LINE-08,2025-01-20,2025-01-28,2025-01-28,48,38,train,synthetic
ALLOC-08-004,FAC-001,ORD-08-004,LINE-08,2025-01-29,2025-02-05,2025-02-08,100,38,train,synthetic
ALLOC-08-005,FAC-001,ORD-08-005,LINE-08,2025-02-09,2025-02-16,2025-02-18,48,38,train,synthetic
ALLOC-08-006,FAC-001,ORD-08-006,LINE-08,2025-02-19,2025-02-27,2025-03-03,109,38,train,synthetic
ALLOC-08-007,FAC-001,ORD-08-007,LINE-08,2025-03-04,2025-03-08,2025-03-10,165,38,train,synthetic
ALLOC-08-008,FAC-001,ORD-08-008,LINE-08,2025-03-11,2025-03-19,2025-03-22,155,38,train,synthetic
ALLOC-08-009,FAC-001,ORD-08-009,LINE-08,2025-03-23,2025-03-26,2025-03-29,52,38,train,synthetic
ALLOC-08-010,FAC-001,ORD-08-010,LINE-08,2025-03-30,2025-04-08,2025-04-09,74,38,train,synthetic
ALLOC-08-011,FAC-001,ORD-08-011,LINE-08,2025-04-10,2025-04-21,2025-04-21,55,38,train,synthetic
ALLOC-08-012,FAC-001,ORD-08-012,LINE-08,2025-04-22,2025-04-27,2025-04-28,182,38,train,synthetic
ALLOC-08-013,FAC-001,ORD-08-013,LINE-08,2025-04-29,2025-05-08,2025-05-08,104,38,train,synthetic
ALLOC-08-014,FAC-001,ORD-08-014,LINE-08,2025-05-10,2025-05-14,2025-05-18,55,38,validation,synthetic
ALLOC-08-015,FAC-001,ORD-08-015,LINE-08,2025-05-19,2025-05-26,2025-05-28,105,38,validation,synthetic
ALLOC-08-016,FAC-001,ORD-08-016,LINE-08,2025-05-29,2025-06-09,2025-06-12,48,38,validation,synthetic
ALLOC-08-017,FAC-001,ORD-08-017,LINE-08,2025-06-14,2025-06-21,2025-06-22,143,38,test,synthetic
ALLOC-08-018,FAC-001,ORD-08-018,LINE-08,2025-06-23,2025-07-01,2025-06-23,82,38,test,synthetic
